State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Maryland,now-cast,SurveyMonkey,10/26/2016,11/1/2016,63.0,27.0,61.652190000000004,27.18579,24.0
Rhode Island,now-cast,SurveyMonkey,10/20/2016,10/28/2016,48.0,37.0,46.611940000000004,38.715920000000004,5.0
Louisiana,now-cast,SurveyMonkey,10/24/2016,10/30/2016,36.0,54.0,34.61912,54.492580000000004,64.0
Nevada,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,34.38,33.9,42.12701,43.33267,17.0
Washington,now-cast,SurveyMonkey,10/28/2016,11/3/2016,53.0,34.0,51.6943,33.83967,39.0
Nevada,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,31.76,35.73,39.25227,45.64674,17.0
South Carolina,now-cast,SurveyMonkey,10/18/2016,10/26/2016,43.0,45.0,41.53691,46.35694,46.0
Kentucky,now-cast,Google Consumer Surveys,8/2/2016,8/4/2016,25.0,41.0,31.104029999999998,50.40207,120.0
Montana,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,27.8,34.93,35.681979999999996,43.99694,56.0
Mississippi,now-cast,SurveyMonkey,10/26/2016,11/1/2016,41.0,47.0,39.618809999999996,47.073,82.0
Utah,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,24.76,33.02,32.56131,41.97882,29.0
Arizona,now-cast,SurveyMonkey,10/24/2016,10/30/2016,43.0,43.0,41.653999999999996,43.672470000000004,15.0
Nevada,now-cast,SurveyMonkey,10/27/2016,11/2/2016,43.0,44.0,41.67074,43.99785,17.0
Maine,now-cast,SurveyMonkey,10/30/2016,11/6/2016,47.0,39.0,45.64559000000001,38.43573,16.0
Oregon,now-cast,SurveyMonkey,10/18/2016,10/26/2016,52.0,33.0,50.56857,34.78635,36.0
South Carolina,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,29.2,45.11,34.60474,53.224109999999996,46.0
North Carolina,now-cast,SurveyMonkey,10/30/2016,11/6/2016,48.0,41.0,46.595459999999996,40.40562,100.0
Colorado,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,42.95,23.66,48.6056,32.64485,64.0
Maryland,now-cast,SurveyMonkey,11/1/2016,11/7/2016,59.0,28.0,57.543659999999996,27.360879999999998,24.0
West Virginia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,27.0,57.0,25.61885,56.419669999999996,55.0
Kansas,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,36.26,32.61,41.60822,40.46196,105.0
New York,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,44.04,28.96,49.47715,37.444179999999996,62.0
Nevada,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,40.39,33.32,45.82844,39.90528,17.0
Pennsylvania,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.86,39.45,42.286770000000004,45.985170000000004,67.0
Missouri,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,35.53,34.72,43.08778,44.29895,115.0
New Jersey,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,38.54,33.18,43.985659999999996,39.79627,21.0
Washington,now-cast,SurveyMonkey,11/1/2016,11/7/2016,51.0,33.0,49.56419,32.37147,39.0
Florida,now-cast,SurveyMonkey,10/17/2016,10/25/2016,47.0,44.0,45.558609999999994,45.73534,67.0
Maryland,now-cast,SurveyMonkey,8/9/2016,9/1/2016,54.0,27.0,56.097319999999996,32.28865,24.0
Kansas,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,34.98,30.11,42.54955,40.175979999999996,105.0
Kentucky,now-cast,SurveyMonkey,10/26/2016,11/1/2016,34.0,57.0,32.65611,57.19902,120.0
Utah,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,30.37,33.91,36.40311,42.821529999999996,29.0
Colorado,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,38.94,23.91,46.83563,33.57339,64.0
South Dakota,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,31.03,30.11,38.72101,38.83234,66.0
Colorado,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,42.67,27.9,48.12393,34.551809999999996,64.0
Massachusetts,now-cast,SurveyMonkey,10/24/2016,10/30/2016,58.0,28.0,56.70188,28.91938,14.0
Alabama,now-cast,SurveyMonkey,10/26/2016,11/1/2016,37.0,52.0,35.62576,52.09648,67.0
Oklahoma,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,27.28,47.83,32.70621,54.362759999999994,77.0
Indiana,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,30.92,31.52,38.52134,40.21079,92.0
South Dakota,now-cast,SurveyMonkey,8/9/2016,9/1/2016,29.0,43.0,31.314140000000002,48.659240000000004,66.0
Tennessee,now-cast,SurveyMonkey,10/27/2016,11/2/2016,41.0,50.0,39.662009999999995,49.97598,95.0
Hawaii,now-cast,SurveyMonkey,10/29/2016,11/4/2016,53.0,28.0,51.6983,27.69163,5.0
North Dakota,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,26.63,49.28,34.14557,58.08595,53.0
Wisconsin,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,42.17,27.33,47.81615,36.24576,72.0
Vermont,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,57.13,17.11,62.608309999999996,23.86652,14.0
Delaware,now-cast,SurveyMonkey,10/28/2016,11/3/2016,50.0,36.0,48.666470000000004,35.78938,3.0
Nebraska,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,27.82,40.76,33.45921,49.62494,93.0
Colorado,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,44.08,25.6,49.52983,34.2289,64.0
South Dakota,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,27.93,38.56,35.79985999999999,48.18339,66.0
Michigan,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,37.13,29.03,44.63984,38.98068,83.0
Alabama,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,17.97,56.78,25.27439,65.91888,67.0
New Mexico,now-cast,SurveyMonkey,10/25/2016,10/31/2016,44.0,34.0,42.66186,34.473,33.0
Pennsylvania,now-cast,SurveyMonkey,10/25/2016,10/31/2016,49.0,41.0,47.64065,41.38191,67.0
Arizona,now-cast,SurveyMonkey,10/28/2016,11/3/2016,44.0,43.0,42.676120000000004,42.80683,15.0
Hawaii,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,45.23,23.66,50.70012,30.38131,5.0
Vermont,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,49.71,18.36,57.79811,27.70322,14.0
Arizona,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,37.8,33.82,45.134159999999994,42.365,15.0
Oregon,now-cast,SurveyMonkey,10/17/2016,10/25/2016,51.0,32.0,49.57309,33.93866,36.0
Virginia,now-cast,SurveyMonkey,10/8/2016,10/16/2016,49.0,38.0,47.826570000000004,40.51777,134.0
Maryland,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,47.3,25.15,52.72779,31.689559999999997,24.0
Alabama,now-cast,SurveyMonkey,10/25/2016,10/31/2016,35.0,55.0,33.616279999999996,55.27724,67.0
Idaho,now-cast,SurveyMonkey,10/29/2016,11/4/2016,30.0,47.0,28.676679999999998,46.66323,44.0
Connecticut,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,40.68,25.54,48.62981,35.28751,8.0
Pennsylvania,now-cast,SurveyMonkey,10/24/2016,10/30/2016,49.0,41.0,47.63713,41.58546,67.0
Ohio,now-cast,SurveyMonkey,10/26/2016,11/1/2016,42.0,45.0,40.662209999999995,45.21965,88.0
Idaho,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,26.63,38.39,32.07544,46.968779999999995,44.0
Georgia,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,31.5,39.2,38.544709999999995,47.32865,159.0
New Jersey,now-cast,SurveyMonkey,8/9/2016,9/1/2016,49.0,34.0,51.26246,39.57091,21.0
Alabama,now-cast,SurveyMonkey,8/9/2016,9/1/2016,31.0,53.0,32.86257,57.887409999999996,67.0
California,now-cast,SurveyMonkey,11/1/2016,11/7/2016,56.0,31.0,54.55217,30.365270000000002,58.0
Rhode Island,now-cast,SurveyMonkey,10/26/2016,11/1/2016,49.0,36.0,47.721709999999995,36.42072,5.0
Texas,now-cast,SurveyMonkey,10/25/2016,10/31/2016,41.0,47.0,39.6438,47.39542,254.0
Colorado,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,37.36,28.53,45.29591,37.90825,64.0
District of Columbia,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,66.53,15.3,74.26642,24.42363,1.0
Tennessee,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,31.08,43.0,36.69515,51.689009999999996,95.0
New Hampshire,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.77,38.03,42.25786,44.8275,10.0
Illinois,now-cast,SurveyMonkey,10/25/2016,10/31/2016,52.0,35.0,50.64857,35.41591,102.0
Colorado,now-cast,SurveyMonkey,10/25/2016,10/31/2016,43.0,39.0,41.66782,39.49855,64.0
Michigan,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,37.41,28.49,42.84656,36.96744,83.0
Colorado,now-cast,SurveyMonkey,10/8/2016,10/16/2016,44.0,37.0,42.869479999999996,39.83159000000001,64.0
New York,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,41.23,26.04,48.745020000000004,36.000679999999996,62.0
Florida,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.5,44.1,41.93545,50.67244,67.0
Utah,now-cast,SurveyMonkey,11/1/2016,11/7/2016,31.0,34.0,29.556179999999998,33.36734000000001,29.0
Maryland,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,44.82,31.28,50.149770000000004,36.79414000000001,24.0
Virginia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,48.0,39.0,46.63917,39.59598,134.0
Oklahoma,now-cast,SurveyMonkey,10/27/2016,11/2/2016,32.0,56.0,30.65767,55.965090000000004,77.0
Nebraska,now-cast,SurveyMonkey,10/25/2016,10/31/2016,32.0,52.0,30.65823,52.45737,93.0
Ohio,now-cast,SurveyMonkey,10/27/2016,11/2/2016,41.0,46.0,39.66964,45.99511,88.0
Kentucky,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,33.42,34.87,40.85272,44.67176,120.0
North Carolina,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,33.51,35.36,40.8267,44.93769,100.0
Arkansas,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.32,44.58,32.74675,52.94544000000001,75.0
Pennsylvania,now-cast,SurveyMonkey,10/18/2016,10/26/2016,48.0,42.0,46.54886,43.519,67.0
New Hampshire,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,56.62,17.43,62.77681,26.84018,10.0
Wyoming,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,20.8,52.8,26.15027000000001,60.67975,23.0
South Carolina,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,30.14,40.94,35.463029999999996,48.4502,46.0
District of Columbia,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,44.27,25.62,52.55786,35.8923,1.0
New Mexico,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,47.68,23.64,53.02861,31.4972,33.0
Wisconsin,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,40.71,27.62,48.07993,36.21646,72.0
Iowa,now-cast,SurveyMonkey,10/8/2016,10/16/2016,40.0,45.0,38.86934,47.83055,99.0
Minnesota,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,34.61,26.85,42.51024,36.17735,87.0
Vermont,now-cast,SurveyMonkey,10/20/2016,10/28/2016,53.0,25.0,51.6005,26.5938,14.0
Illinois,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,34.63,28.61,42.34101,37.986779999999996,102.0
Virginia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,49.0,39.0,47.65505,38.63483,134.0
Vermont,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,44.43,27.34,51.36837,36.488,14.0
Alaska,now-cast,SurveyMonkey,10/28/2016,11/3/2016,35.0,46.0,33.69252,45.83645,29.0
Alabama,now-cast,SurveyMonkey,10/29/2016,11/4/2016,36.0,54.0,34.62735,53.59845,67.0
Hawaii,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,53.27,22.95,61.03611,33.39557,5.0
North Carolina,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,35.04,36.78,40.98043,45.31799,100.0
Connecticut,now-cast,SurveyMonkey,10/27/2016,11/2/2016,52.0,38.0,50.693329999999996,38.05447,8.0
Georgia,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,34.06,40.4,39.38241,47.90184,159.0
Minnesota,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,37.46,28.24,44.84462,36.85759,87.0
California,now-cast,SurveyMonkey,10/17/2016,10/25/2016,54.0,31.0,52.56261,32.7915,58.0
Minnesota,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,38.29,24.77,46.15047,34.378820000000005,87.0
Montana,now-cast,SurveyMonkey,10/18/2016,10/26/2016,35.0,51.0,33.56799,52.77842,56.0
Florida,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,36.53,41.36,41.86452,46.87659,67.0
Arkansas,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,23.56,40.99,30.98379000000001,50.7745,75.0
Rhode Island,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,34.17,27.03,42.14767,37.88413,5.0
Wisconsin,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,39.85,27.23,47.69262,36.81111,72.0
Kansas,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,41.28,31.0,46.62192,36.5204,105.0
Arkansas,now-cast,SurveyMonkey,11/1/2016,11/7/2016,32.0,56.0,30.54535,55.36176,75.0
Iowa,now-cast,SurveyMonkey,10/29/2016,11/4/2016,37.0,47.0,35.68125999999999,46.66925,99.0
Rhode Island,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,40.69,23.1,46.06119,28.6355,5.0
California,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,47.55,27.38,53.56301,36.21056,58.0
North Carolina,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,34.4,40.6,39.81813,47.098079999999996,100.0
Montana,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,32.75,28.94,40.48829,37.72404,56.0
Georgia,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,31.85,40.74,39.3312,49.46949,159.0
Vermont,now-cast,SurveyMonkey,10/26/2016,11/1/2016,54.0,26.0,52.70478000000001,26.363490000000002,14.0
District of Columbia,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,47.85,21.78,56.183930000000004,31.726129999999998,1.0
Alaska,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,28.37,37.74,35.82546,46.45948,29.0
Delaware,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,41.91,30.38,47.24413,35.89639000000001,3.0
Mississippi,now-cast,SurveyMonkey,8/9/2016,9/1/2016,43.0,46.0,44.80087,50.78194000000001,82.0
New Hampshire,now-cast,SurveyMonkey,10/8/2016,10/16/2016,47.0,36.0,45.92749,39.25585,10.0
Maryland,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,43.81,25.98,51.4202,34.68266,24.0
Indiana,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,35.95,33.04,41.37314,41.36421,92.0
Alaska,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,23.35,41.15,31.257659999999998,50.25136,29.0
Minnesota,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,34.77,28.58,40.22027,35.21608,87.0
Indiana,now-cast,SurveyMonkey,10/24/2016,10/30/2016,37.0,49.0,35.637209999999996,49.58589,92.0
Michigan,now-cast,SurveyMonkey,10/28/2016,11/3/2016,44.0,43.0,42.67249,42.80027000000001,83.0
North Carolina,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,32.56,41.32,39.69085,49.57255,100.0
Louisiana,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,31.23,45.71,37.76822,54.01714000000001,64.0
Maryland,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,48.15,26.0,53.48563000000001,33.68116,24.0
Minnesota,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,36.85,24.96,44.593709999999994,34.86186,87.0
New York,now-cast,SurveyMonkey,10/29/2016,11/4/2016,58.0,32.0,56.66786999999999,31.651659999999996,62.0
Maryland,now-cast,SurveyMonkey,10/17/2016,10/25/2016,61.0,27.0,59.55356999999999,28.66452,24.0
Connecticut,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,39.0,31.8,46.76567,40.61979,8.0
Kansas,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,42.95,30.92,50.311809999999994,39.50478,105.0
Rhode Island,now-cast,SurveyMonkey,10/27/2016,11/2/2016,48.0,38.0,46.730740000000004,38.14822,5.0
South Dakota,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,29.11,31.07,36.50235,39.6987,66.0
Oregon,now-cast,SurveyMonkey,10/24/2016,10/30/2016,51.0,36.0,49.66737,36.74142,36.0
District of Columbia,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,44.16,24.78,52.13966,35.63797,1.0
New Hampshire,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,29.52,38.1,34.89425,46.30491,10.0
Texas,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,34.09,37.44,41.75522,46.7457,254.0
District of Columbia,now-cast,SurveyMonkey,10/28/2016,11/3/2016,85.0,5.0,83.73048,4.905044999999999,1.0
Maryland,now-cast,SurveyMonkey,10/27/2016,11/2/2016,63.0,26.0,61.65936,25.96933,24.0
District of Columbia,now-cast,SurveyMonkey,10/27/2016,11/2/2016,87.0,5.0,85.73098,5.148833,1.0
West Virginia,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,34.34,38.67,41.89376,48.70549000000001,55.0
Mississippi,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,25.49,52.31,32.44388,60.307990000000004,82.0
Hawaii,now-cast,SurveyMonkey,11/1/2016,11/7/2016,52.0,28.0,50.5699,27.374409999999997,5.0
Mississippi,now-cast,SurveyMonkey,11/1/2016,11/7/2016,42.0,50.0,40.52377,49.350629999999995,82.0
Idaho,now-cast,SurveyMonkey,10/26/2016,11/1/2016,32.0,47.0,30.67476,47.26207,44.0
Georgia,now-cast,SurveyMonkey,10/8/2016,10/16/2016,45.0,41.0,43.78962,43.24749,159.0
Hawaii,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,47.31,27.69,55.403459999999995,37.29303,5.0
Arizona,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,38.76,32.92,45.50096,41.65318,15.0
Colorado,now-cast,SurveyMonkey,10/24/2016,10/30/2016,44.0,39.0,42.66392000000001,39.723620000000004,64.0
New Mexico,now-cast,SurveyMonkey,10/8/2016,10/16/2016,41.0,33.0,39.85931,35.75717,33.0
North Carolina,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,31.28,41.89,37.87337,50.31305,100.0
Louisiana,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,34.12,44.79,39.44324,52.30305,64.0
Texas,now-cast,SurveyMonkey,10/29/2016,11/4/2016,42.0,47.0,40.65618,46.636309999999995,254.0
Montana,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,38.19,34.88,43.642379999999996,43.53805,56.0
Minnesota,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,37.89,28.42,44.667590000000004,37.23015,87.0
Indiana,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.46,33.82,41.88685,40.35554000000001,92.0
Wisconsin,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,42.22,24.49,49.88558,33.17915,72.0
Wisconsin,now-cast,SurveyMonkey,10/25/2016,10/31/2016,44.0,42.0,42.66229000000001,42.47482,72.0
Idaho,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,30.38,34.5,35.72322,40.02108,44.0
California,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,43.63,25.43,51.14891,35.398179999999996,58.0
District of Columbia,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,38.8,32.39,47.0442,41.94245,1.0
Louisiana,now-cast,SurveyMonkey,10/27/2016,11/2/2016,37.0,51.0,35.63876,50.91769,64.0
Maine,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,35.99,32.25,43.97819000000001,42.57644000000001,16.0
Connecticut,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,41.81,26.44,49.7209,35.5457,8.0
Nebraska,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,29.11,41.65,36.73918,50.29164,93.0
Alaska,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,31.73,28.39,39.40207,38.65396,29.0
Connecticut,now-cast,SurveyMonkey,10/29/2016,11/4/2016,51.0,37.0,49.687259999999995,36.67713,8.0
Colorado,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,40.6,28.49,48.31507,37.24375,64.0
Michigan,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,38.94,32.42,44.28378,40.21174,83.0
Hawaii,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,62.08,16.96,68.97137,26.00923,5.0
Delaware,now-cast,SurveyMonkey,10/20/2016,10/28/2016,52.0,36.0,50.56993,37.26741,3.0
New York,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,39.08,27.65,46.739329999999995,37.4053,62.0
Utah,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,27.93,24.07,35.59189,32.754329999999996,29.0
Virginia,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,40.76,28.22,46.37269000000001,36.89103,134.0
New Jersey,now-cast,SurveyMonkey,10/26/2016,11/1/2016,55.0,36.0,53.67078000000001,36.24863,21.0
New Hampshire,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,47.86,23.29,53.573609999999995,32.69912,10.0
Connecticut,now-cast,SurveyMonkey,10/17/2016,10/25/2016,50.0,36.0,48.5745,37.95852,8.0
Kentucky,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,29.49,41.89,35.10733,50.59499,120.0
Alabama,now-cast,SurveyMonkey,10/18/2016,10/26/2016,36.0,52.0,34.533190000000005,53.30648000000001,67.0
Ohio,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,28.93,34.5,36.66719000000001,43.917429999999996,88.0
Arizona,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,34.87,34.6,42.70803,43.83859,15.0
Illinois,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,36.79,30.29,44.051590000000004,38.73061,102.0
Louisiana,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,27.03,46.2,34.26351,55.61704,64.0
Alaska,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,29.51,37.98,37.33603,48.02482,29.0
District of Columbia,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,65.81,7.06,71.30013000000002,16.14895,1.0
Illinois,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,42.41,25.35,49.098279999999995,33.97247,102.0
Iowa,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,40.4,33.02,48.176590000000004,42.97895,99.0
Oregon,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,43.67,24.5,49.331579999999995,33.52863,36.0
Illinois,now-cast,SurveyMonkey,10/27/2016,11/2/2016,53.0,36.0,51.66673,35.9878,102.0
Rhode Island,now-cast,SurveyMonkey,10/28/2016,11/3/2016,49.0,38.0,47.73024,37.9046,5.0
Virginia,now-cast,SurveyMonkey,8/9/2016,9/1/2016,43.0,36.0,45.10699,41.30518,134.0
Delaware,now-cast,SurveyMonkey,10/24/2016,10/30/2016,51.0,38.0,49.645070000000004,38.62643,3.0
North Carolina,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,35.03,40.65,40.35378,46.16106,100.0
Maine,now-cast,SurveyMonkey,10/24/2016,10/30/2016,50.0,38.0,48.68658,38.84047,16.0
New York,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,47.36,27.7,52.99361,36.524029999999996,62.0
Arizona,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,39.71,35.6,45.05597,43.42142,15.0
Iowa,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,37.55,30.16,43.00385,36.81145,99.0
Nebraska,now-cast,SurveyMonkey,10/28/2016,11/3/2016,35.0,51.0,33.67662,50.80773,93.0
Montana,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,34.62,34.96,39.96759,40.48333,56.0
Ohio,now-cast,SurveyMonkey,10/17/2016,10/25/2016,40.0,45.0,38.559909999999995,46.75354,88.0
Oregon,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,47.73,23.55,53.18328,32.21829,36.0
Pennsylvania,now-cast,SurveyMonkey,10/27/2016,11/2/2016,47.0,42.0,45.65827,41.966590000000004,67.0
Arizona,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,38.24,35.87,44.260329999999996,44.73003,15.0
West Virginia,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,25.29,51.55,30.63079,57.06981999999999,55.0
Utah,now-cast,Google Consumer Surveys,10/9/2016,10/9/2016,22.8,22.6,29.44325,33.08569,29.0
Illinois,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,39.01,29.4,46.55268,37.92874000000001,102.0
Massachusetts,now-cast,SurveyMonkey,10/25/2016,10/31/2016,58.0,29.0,56.7063,29.66382,14.0
Georgia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,45.0,45.0,43.63241,44.605090000000004,159.0
Nebraska,now-cast,SurveyMonkey,10/17/2016,10/25/2016,33.0,52.0,31.56447,53.8176,93.0
Mississippi,now-cast,SurveyMonkey,10/25/2016,10/31/2016,41.0,48.0,39.6096,48.24858,82.0
Oklahoma,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,28.72,37.06,36.34966,46.3105,77.0
Delaware,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,35.71,23.01,43.31199,32.66572,3.0
Nebraska,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,31.74,38.71,37.18038,47.231,93.0
Oklahoma,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,30.59,40.34,35.92462000000001,48.00737,77.0
Connecticut,now-cast,SurveyMonkey,10/20/2016,10/28/2016,51.0,38.0,49.58733,39.4532,8.0
Pennsylvania,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,35.11,35.75,42.309059999999995,44.10067,67.0
Washington,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,45.25,28.98,50.60692,36.94993,39.0
West Virginia,now-cast,SurveyMonkey,10/25/2016,10/31/2016,27.0,58.0,25.65944,58.46256999999999,55.0
West Virginia,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,23.1,58.73,28.74127,67.61006,55.0
Delaware,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,40.37,28.34,46.36223,37.08679,3.0
Missouri,now-cast,SurveyMonkey,10/25/2016,10/31/2016,39.0,46.0,37.64389,46.39581,115.0
Massachusetts,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,43.78,24.19,52.0906,34.10283,14.0
Iowa,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,33.58,32.81,41.47484,42.472159999999995,99.0
Delaware,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,34.21,33.26,39.55015,41.00249,3.0
