state,type,pollster,startdate,enddate,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump
Alaska,now-cast,YouGov,10/4/2016,11/6/2016,37.4,37.7,38.19873,40.2746
Minnesota,now-cast,SurveyUSA,9/16/2016,9/20/2016,46.0,39.0,47.19508,40.80397
Vermont,now-cast,YouGov,10/4/2016,11/6/2016,40.5,24.5,41.31129,27.251040000000003
U.S.,now-cast,ABC News/Washington Post,10/27/2016,10/30/2016,45.0,46.0,43.42393,45.5849
District of Columbia,now-cast,YouGov,10/4/2016,11/6/2016,79.8,6.8,80.62216,9.703661
U.S.,now-cast,IBD/TIPP,10/26/2016,10/31/2016,44.6,43.7,46.67354,44.20409
Florida,now-cast,Gravis Marketing,10/25/2016,10/26/2016,48.0,47.0,48.10199,47.91171
Pennsylvania,now-cast,CNN/Opinion Research Corp.,9/20/2016,9/25/2016,45.0,44.0,46.0378,44.42689
U.S.,now-cast,Marist College,9/15/2016,9/20/2016,45.0,39.0,45.76257,42.30138
Florida,now-cast,Quinnipiac University,10/10/2016,10/16/2016,48.0,44.0,48.68785,46.20308
North Carolina,now-cast,Elon University,9/27/2016,9/30/2016,44.5,39.0,46.18559000000001,42.8704
Hawaii,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,43.62,28.72,48.97602,34.24767
Colorado,now-cast,Remington,10/30/2016,10/30/2016,45.0,44.0,45.01801,43.23525
Iowa,now-cast,SurveyMonkey,10/30/2016,11/6/2016,37.0,47.0,35.62593,46.42392
New Hampshire,now-cast,University of New Hampshire,10/11/2016,10/17/2016,49.0,34.0,49.10519,38.96399
Massachusetts,now-cast,Western New England University,9/24/2016,10/3/2016,58.0,26.0,58.12668000000001,30.523640000000004
Florida,now-cast,Emerson College,10/2/2016,10/4/2016,44.0,45.0,45.11113,46.11468
U.S.,now-cast,NBC News/Wall Street Journal,10/8/2016,10/10/2016,46.0,37.0,46.2212,41.2422
Colorado,now-cast,Public Policy Polling,9/27/2016,9/28/2016,46.0,40.0,47.14015,42.62476
U.S.,now-cast,ABC News/Washington Post,10/26/2016,10/29/2016,46.0,45.0,44.413,44.79325
Utah,now-cast,Y2 Analytics,10/10/2016,10/11/2016,26.0,26.0,27.55476,31.61863
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,48.0,45.0,48.55997,45.30788
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,43.0,42.0,43.62978,42.37049
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,44.0,43.0,44.57928,43.3252
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,48.0,42.0,48.56862,42.31564
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,43.0,43.0,43.5803,43.32611
Indiana,now-cast,SurveyMonkey,10/30/2016,11/6/2016,35.0,52.0,33.602909999999994,51.41009
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,45.0,46.0,45.57731,46.32343
U.S.,now-cast,Public Policy Polling,9/27/2016,9/28/2016,44.0,40.0,45.03605,42.43534
U.S.,now-cast,Ipsos,10/29/2016,11/2/2016,45.5,37.3,45.6746,37.54539000000001
Pennsylvania,now-cast,Franklin & Marshall College,9/28/2016,10/2/2016,47.0,38.0,47.96432,42.70412
Missouri,now-cast,Emerson College,10/17/2016,10/19/2016,39.0,47.0,39.14167,47.64395
Maine,now-cast,Maine People's Resource Center,10/14/2016,10/15/2016,42.0,36.0,43.32906,39.72005
Pennsylvania,now-cast,Public Policy Polling,9/27/2016,9/28/2016,45.0,39.0,45.96389,41.30405
Illinois,now-cast,SurveyMonkey,10/30/2016,11/6/2016,52.0,35.0,50.60958,34.4141
Colorado,now-cast,Magellan Strategies,10/12/2016,10/13/2016,40.0,35.0,39.69425,37.95139
New Hampshire,now-cast,University of New Hampshire,10/31/2016,11/3/2016,47.0,39.0,46.98706,40.38618
Florida,now-cast,Suffolk University,9/19/2016,9/21/2016,44.0,45.0,46.34107,48.05474
Wyoming,now-cast,YouGov,10/4/2016,11/6/2016,26.2,59.0,26.99302,61.49441
Florida,now-cast,Associated Industries of Florida,10/2/2016,10/5/2016,44.0,41.0,45.2529,45.82789
Michigan,now-cast,Mitchell Research & Communications,11/3/2016,11/3/2016,46.0,41.0,44.65492,39.84879
Virginia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,49.0,39.0,47.6046,38.4111
Nevada,now-cast,JMC Enterprises,10/10/2016,10/13/2016,43.0,41.0,43.36266,44.44051
U.S.,now-cast,icitizen,9/15/2016,9/19/2016,42.0,37.0,45.94226,42.53344
Pennsylvania,now-cast,Gravis Marketing,10/25/2016,10/30/2016,47.0,44.0,47.1059,44.44162
Nevada,now-cast,Remington,10/30/2016,10/30/2016,44.0,48.0,44.00146,47.19376
West Virginia,now-cast,Garin-Hart-Yang Research Group,9/13/2016,9/17/2016,28.0,60.0,28.14775,60.58347
New York,now-cast,SurveyMonkey,10/30/2016,11/6/2016,58.0,31.0,56.61503,30.41737
New Hampshire,now-cast,Monmouth University,9/17/2016,9/20/2016,47.0,38.0,48.50004000000001,40.9715
Michigan,now-cast,EPIC-MRA,10/1/2016,10/3/2016,43.0,32.0,45.64342,36.43402
U.S.,now-cast,ABC News/Washington Post,10/25/2016,10/28/2016,46.0,45.0,44.40932,45.00561
Georgia,now-cast,JMC Enterprises,9/20/2016,9/22/2016,38.0,44.0,39.95314000000001,46.75325
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,44.0,44.0,44.57975,44.32562
U.S.,now-cast,Insights West,10/10/2016,10/11/2016,42.0,37.0,42.90355,40.71936
Florida,now-cast,Monmouth University,9/16/2016,9/19/2016,46.0,41.0,47.05148,43.41183
Pennsylvania,now-cast,Muhlenberg College,9/19/2016,9/23/2016,40.0,38.0,43.42574000000001,42.53369
Arizona,now-cast,Emerson College,10/2/2016,10/4/2016,44.0,42.0,45.14904,43.21863
Colorado,now-cast,"Keating Research, Inc.",9/27/2016,9/29/2016,44.0,33.0,45.53654,37.34744
Maine CD-2,now-cast,SurveyUSA,9/4/2016,9/10/2016,37.0,47.0,38.54987,49.49235
Wisconsin,now-cast,Loras College,10/4/2016,10/5/2016,43.2,34.6,44.81685,38.89404
Georgia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,45.0,45.0,43.58616,44.40003
U.S.,now-cast,Fox News/Anderson Robbins Research/Shaw & Company Research,10/10/2016,10/12/2016,45.0,38.0,46.48682,41.1941
U.S.,now-cast,Emerson College,9/11/2016,9/13/2016,41.0,43.0,43.42091,44.15486
Wisconsin,now-cast,SurveyMonkey,10/30/2016,11/6/2016,44.0,43.0,42.62128,42.42113
Georgia,now-cast,Monmouth University,9/15/2016,9/18/2016,42.0,45.0,42.81636,47.11445
Maine CD-1,now-cast,SurveyUSA,9/4/2016,9/10/2016,49.0,31.0,50.73524000000001,33.7483
Pennsylvania,now-cast,Quinnipiac University,9/27/2016,10/2/2016,45.0,41.0,46.75393,43.01239
Virginia,now-cast,Public Policy Polling,9/27/2016,9/28/2016,46.0,40.0,46.97731,42.32846
U.S.,now-cast,ABC News/Washington Post,10/10/2016,10/13/2016,47.0,43.0,45.60328,44.99456
U.S.,now-cast,The Times-Picayune/Lucid,11/4/2016,11/6/2016,45.0,40.0,45.2271,42.28191
Iowa,now-cast,Monmouth University,9/12/2016,9/14/2016,37.0,45.0,38.31994,47.82249
Connecticut,now-cast,Emerson College,9/2/2016,9/5/2016,50.0,35.0,52.73206999999999,36.81982
Virginia,now-cast,Quinnipiac University,9/13/2016,9/21/2016,45.0,39.0,47.60131,40.94564
North Carolina,now-cast,Meredith College,9/18/2016,9/22/2016,38.0,35.0,42.39822,41.10244
Ohio,now-cast,Quinnipiac University,9/27/2016,10/2/2016,42.0,47.0,43.81497,49.14065
Ohio,now-cast,Remington,10/30/2016,10/30/2016,43.0,48.0,43.00036,47.19102
Virginia,now-cast,Christopher Newport University,10/16/2016,10/19/2016,45.0,33.0,45.96054,37.52667
California,now-cast,SurveyMonkey,10/30/2016,11/6/2016,56.0,30.0,54.61541,29.4176
U.S.,now-cast,ABC News/Washington Post,10/24/2016,10/27/2016,47.0,45.0,45.40029000000001,45.23004
U.S.,now-cast,Quinnipiac University,9/22/2016,9/25/2016,44.0,43.0,46.39791,44.96227
Michigan,now-cast,Target Insyght,9/18/2016,9/24/2016,46.0,41.0,48.56377,44.44761
Arkansas,now-cast,Emerson College,9/9/2016,9/13/2016,29.0,57.0,31.36744,58.09996999999999
U.S.,now-cast,GfK Group,9/15/2016,9/19/2016,45.0,39.0,46.83021,42.66059
New Hampshire,now-cast,MassINC Polling Group,9/27/2016,9/29/2016,42.0,35.0,44.2238,39.02168
Pennsylvania,now-cast,Remington,10/30/2016,10/30/2016,45.0,43.0,44.98899,42.16251
North Carolina,now-cast,Remington,10/30/2016,10/30/2016,45.0,47.0,44.97976,46.13937
New Jersey,now-cast,Stockton College,9/22/2016,9/29/2016,46.2,39.8,46.57059,40.53354
Virginia,now-cast,University of Mary Washington,9/6/2016,9/12/2016,40.0,37.0,43.4538,40.37091
Arizona,now-cast,SurveyMonkey,10/30/2016,11/6/2016,45.0,43.0,43.61742,42.41881
Florida,now-cast,Remington,10/30/2016,10/30/2016,44.0,48.0,43.99826,47.18575
Colorado,now-cast,Quinnipiac University,9/13/2016,9/21/2016,44.0,42.0,46.82611,44.23904
Michigan,now-cast,"Glengariff Group, Inc.",9/27/2016,9/28/2016,42.0,35.0,45.00036,39.58046
Wisconsin,now-cast,Gravis Marketing,10/4/2016,10/4/2016,48.0,40.0,48.99706,42.78994
U.S.,now-cast,Ipsos,10/28/2016,11/1/2016,44.7,37.4,44.87502,37.84648
Nevada,now-cast,Bendixen & Amandi International,9/27/2016,9/29/2016,45.0,44.0,45.73301,46.99162000000001
New Hampshire,now-cast,University of New Hampshire,10/30/2016,11/2/2016,47.0,40.0,47.00186,41.5382
Pennsylvania,now-cast,Mercyhurst University,9/12/2016,9/23/2016,42.0,41.0,45.23298,44.37213
Pennsylvania,now-cast,SurveyMonkey,10/30/2016,11/6/2016,47.0,42.0,45.60283,41.41005
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,44.0,40.0,44.59096,41.02972000000001
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,46.0,46.0,46.56982,46.95829000000001
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,44.0,40.0,44.6424,41.20353
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,47.0,41.0,47.58989,42.02612
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,43.0,44.0,43.57881,44.98867
Wisconsin,now-cast,Emerson College,9/19/2016,9/20/2016,44.5,38.4,46.85537,39.39091
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,44.0,43.0,44.5928,43.45452
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,43.0,42.0,43.64457,42.52251
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,45.0,43.0,45.59172,43.45311
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,49.0,44.0,49.57152,44.42657
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,46.0,43.0,46.58057,43.43846
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,47.0,46.0,47.58784,47.0192
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,45.0,45.0,45.58966,45.4504
Iowa,now-cast,Quinnipiac University,9/13/2016,9/21/2016,37.0,44.0,39.82537,46.23807
Illinois,now-cast,We Ask America,9/12/2016,9/12/2016,51.24,32.71,54.03368,36.14184
Colorado,now-cast,SurveyMonkey,10/30/2016,11/6/2016,43.0,39.0,41.62600000000001,38.42396
Wisconsin,now-cast,Remington,10/30/2016,10/30/2016,46.0,42.0,46.01211,41.22046
Florida,now-cast,Siena College,9/10/2016,9/14/2016,41.0,40.0,43.66327,44.23352
Ohio,now-cast,SurveyMonkey,10/30/2016,11/6/2016,42.0,45.0,40.61191,44.4155
South Carolina,now-cast,Trafalgar Group,9/6/2016,9/12/2016,37.57,53.0,39.47183,53.14086999999999
Illinois,now-cast,Emerson College,9/19/2016,9/21/2016,44.5,38.7,46.73525,39.53566
New Jersey,now-cast,Emerson College,9/2/2016,9/5/2016,47.0,43.0,49.59676,44.62849
Texas,now-cast,SurveyMonkey,10/30/2016,11/6/2016,42.0,47.0,40.60551,46.41166
Georgia,now-cast,Landmark Communications,10/11/2016,10/12/2016,42.3,47.8,41.64367,50.21645
U.S.,now-cast,IBD/TIPP,10/29/2016,11/2/2016,44.0,44.1,46.08057,44.17807
Georgia,now-cast,Quinnipiac University,9/13/2016,9/21/2016,40.0,47.0,42.4077,48.69294
Colorado,now-cast,YouGov,9/21/2016,9/23/2016,40.0,39.0,43.00915,42.08963
U.S.,now-cast,ABC News/Washington Post,10/23/2016,10/26/2016,48.0,44.0,46.36844,44.45935
Ohio,now-cast,TargetSmart/William & Mary,10/3/2016,10/6/2016,43.2,40.3,44.10521,44.86292
North Carolina,now-cast,SurveyMonkey,10/30/2016,11/6/2016,48.0,41.0,46.59546,40.40562
Florida,now-cast,Florida Atlantic University,10/5/2016,10/9/2016,48.6,42.9,49.90807,45.22056
Pennsylvania,now-cast,YouGov,10/5/2016,10/7/2016,48.0,40.0,49.48839,43.10609
Iowa,now-cast,Public Policy Polling,8/30/2016,8/31/2016,45.0,43.0,44.23738,43.51799000000001
Michigan,now-cast,SurveyMonkey,10/30/2016,11/6/2016,44.0,42.0,42.61452,41.41706
North Dakota,now-cast,DFM Research,9/12/2016,9/17/2016,32.0,43.0,34.19297,47.45211
New Hampshire,now-cast,University of New Hampshire,10/29/2016,11/1/2016,47.0,38.0,47.00803,39.71378
Kansas,now-cast,Remington,8/22/2016,8/23/2016,37.0,44.0,39.31393,46.7785
Nevada,now-cast,Monmouth University,9/11/2016,9/13/2016,42.0,44.0,43.19947,46.66195
Nevada,now-cast,Emerson College,10/2/2016,10/4/2016,43.0,43.0,44.12458,44.15157
Georgia,now-cast,Landmark Communications,10/20/2016,10/20/2016,43.0,47.0,42.10354,48.77319
New Jersey,now-cast,Rutgers University,9/6/2016,9/10/2016,50.0,29.0,52.41924,35.07763
Arizona,now-cast,Data Orbital,10/26/2016,10/27/2016,40.0,42.0,40.77504,43.06683
New Hampshire,now-cast,University of New Hampshire,10/28/2016,10/31/2016,46.0,39.0,46.00852,40.95235
Colorado,now-cast,Franklin & Marshall College,9/14/2016,9/18/2016,41.0,34.0,43.0607,38.96081
New Hampshire,now-cast,Marist College,9/6/2016,9/8/2016,39.0,37.0,40.43015,41.41289
Arizona,now-cast,Marist College,9/6/2016,9/8/2016,38.0,40.0,39.00822,43.8303
Maine,now-cast,University of New Hampshire,9/15/2016,9/20/2016,40.0,36.0,42.39925,40.65354
U.S.,now-cast,ABC News/Washington Post,10/22/2016,10/25/2016,48.0,42.0,46.33332,42.654
North Carolina,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,44.0,40.0,45.17949,43.26431
Nevada,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,42.0,42.0,43.36509,45.50625
Pennsylvania,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,46.0,38.0,47.25843,41.36722
Ohio,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,39.0,41.0,40.35574,44.49406
Nevada,now-cast,Marist College,9/6/2016,9/8/2016,41.0,42.0,41.95606,45.75828
Illinois,now-cast,Victory Research,9/21/2016,9/24/2016,48.6,35.1,49.89037,36.63485
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,10/3/2016,10/5/2016,41.0,43.0,42.41616,46.4064
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/26/2016,47.0,40.0,47.47578,42.18264
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/26/2016,46.0,44.0,46.47025,46.11213
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/26/2016,41.0,44.0,41.48259,46.26956
U.S.,now-cast,IBD/TIPP,10/28/2016,11/1/2016,44.0,44.4,46.08099,44.67916
Florida,now-cast,Global Strategy Group,9/6/2016,9/11/2016,46.0,43.0,46.56577,44.48283
North Carolina,now-cast,High Point University,9/17/2016,9/22/2016,43.0,42.0,45.42558,44.97545
Ohio,now-cast,CNN/Opinion Research Corp.,9/7/2016,9/12/2016,41.0,46.0,42.46035,46.92359
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/26/2016,43.0,46.0,43.48133,48.25349
Utah,now-cast,Rasmussen Reports/Pulse Opinion Research,10/15/2016,10/16/2016,28.0,30.0,28.54175,33.15626
Virginia,now-cast,Remington,10/30/2016,10/30/2016,47.0,43.0,46.9912,42.16805
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,42.0,45.0,42.59222000000001,45.45376
Colorado,now-cast,Remington,10/20/2016,10/22/2016,45.0,43.0,44.9015,44.1022
Vermont,now-cast,Emerson College,9/2/2016,9/5/2016,47.0,26.0,49.91413,28.07722
Hawaii,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,45.23,23.66,50.70012,30.38131
Nevada,now-cast,Remington,10/20/2016,10/22/2016,44.0,47.0,43.8913,47.95892
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,45.0,44.0,45.58556,44.58032
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,46.0,43.0,46.59692,43.60085
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,45.0,41.0,45.65074,41.6981
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,44.0,44.0,44.59801,44.60282
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,47.0,44.0,47.57634,44.56367
Georgia,now-cast,Marist College,9/6/2016,9/8/2016,42.0,44.0,42.65659,47.34479
U.S.,now-cast,ABC News/Washington Post,10/21/2016,10/24/2016,49.0,40.0,47.31643,40.83053
Ohio,now-cast,Emerson College,10/10/2016,10/12/2016,45.0,43.0,45.43662,44.19297
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,46.0,46.0,46.59481,46.59706
Florida,now-cast,CNN/Opinion Research Corp.,9/7/2016,9/12/2016,44.0,47.0,45.44174,47.89864
Florida,now-cast,JMC Enterprises,9/7/2016,9/8/2016,42.0,46.0,44.44009000000001,49.55197
Florida,now-cast,Public Policy Polling,9/27/2016,9/28/2016,45.0,43.0,46.02021,45.40653
U.S.,now-cast,Morning Consult,10/27/2016,10/30/2016,52.0,47.0,52.41603,48.18882
Colorado,now-cast,Gravis Marketing,10/12/2016,10/13/2016,44.0,39.0,44.28426,41.85287
West Virginia,now-cast,Just Win Strategies,9/8/2016,9/10/2016,30.0,57.0,32.91381,61.34659
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/22/2016,46.0,42.0,46.48827,44.56948
U.S.,now-cast,YouGov,10/22/2016,10/26/2016,46.0,41.0,46.79654,42.90966
Texas,now-cast,Dixie Strategies,9/29/2016,10/1/2016,37.95,44.87,39.85962,46.86494
Pennsylvania,now-cast,GBA Strategies,8/21/2016,8/28/2016,46.0,40.0,47.99195,43.90927
Texas,now-cast,Texas Lyceum,9/1/2016,9/11/2016,32.0,39.0,35.30408,43.52441
U.S.,now-cast,Public Religion Research Institute,9/28/2016,10/2/2016,47.0,41.0,45.30892,43.13611
Arkansas,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,31.49,36.09,36.92052,42.64127
Maine CD-2,now-cast,"Normington, Petts & Associates",9/21/2016,9/22/2016,40.0,44.0,38.32551,44.15262
Oklahoma,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,27.28,47.83,32.70621,54.36276
Montana,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,27.14,39.32,32.59652,45.98294
U.S.,now-cast,ABC News/Washington Post,10/20/2016,10/23/2016,50.0,38.0,48.31723,38.97954
U.S.,now-cast,Ipsos,10/27/2016,10/31/2016,44.0,37.2,44.16756,37.87141
Arkansas,now-cast,Hendrix College,9/15/2016,9/17/2016,34.0,55.0,35.18675,56.59265
Florida,now-cast,SurveyMonkey,10/30/2016,11/6/2016,47.0,45.0,45.61023,44.41449
Kansas,now-cast,Fort Hays State University,9/1/2016,10/13/2016,39.0,47.0,42.43925,49.07683
New Hampshire,now-cast,University of New Hampshire,10/26/2016,10/29/2016,46.0,38.0,45.98672,40.4664
New Hampshire,now-cast,University of New Hampshire,10/27/2016,10/30/2016,46.0,40.0,45.99968,42.21922
California,now-cast,Public Policy Institute of California,9/9/2016,9/18/2016,47.0,31.0,51.28532,33.60621
Wyoming,now-cast,DFM Research,9/6/2016,9/11/2016,19.0,54.0,21.14712,58.52647
North Carolina,now-cast,Public Policy Polling,9/27/2016,9/28/2016,44.0,42.0,44.90784,44.20206
Arizona,now-cast,Public Policy Polling,8/26/2016,8/28/2016,43.0,46.0,42.13822,46.56445
North Carolina,now-cast,"National Research, Inc.",9/11/2016,9/12/2016,42.0,42.0,44.58236,45.6721
Pennsylvania,now-cast,Harper Polling,9/21/2016,9/22/2016,45.0,43.0,46.57445,45.41105
Louisiana,now-cast,JMC Enterprises,9/22/2016,9/24/2016,35.0,45.0,36.86239000000001,47.77159
Minnesota,now-cast,"Mason-Dixon Polling & Research, Inc.",9/12/2016,9/14/2016,44.0,38.0,46.58427,42.99698
Massachusetts,now-cast,Emerson College,9/3/2016,9/5/2016,50.0,33.0,53.0512,35.27103
Virginia,now-cast,Hampton University,9/28/2016,10/2/2016,46.0,34.0,46.74368,34.91458
Maine CD-2,now-cast,Maine People's Resource Center,10/7/2016,10/9/2016,38.8,40.4,40.58156,44.185
U.S.,now-cast,Fox News/Anderson Robbins Research/Shaw & Company Research,10/3/2016,10/6/2016,44.0,42.0,45.96993,45.16866
Oregon,now-cast,Gravis Marketing,10/4/2016,10/4/2016,47.0,39.0,48.03426,41.90177
Massachusetts,now-cast,MassINC Polling Group,9/7/2016,9/10/2016,54.0,28.0,57.22671999999999,32.418240000000004
South Dakota,now-cast,Ipsos,9/30/2016,10/20/2016,32.76,49.64,30.29753,49.90755
U.S.,now-cast,The Times-Picayune/Lucid,11/3/2016,11/5/2016,45.0,40.0,45.30778,42.32427
U.S.,now-cast,CBS News/New York Times,9/28/2016,10/2/2016,45.0,41.0,46.59624,44.05698
New York,now-cast,Emerson College,8/28/2016,8/30/2016,52.1,34.2,54.64921999999999,36.0165
Maine CD-1,now-cast,University of New Hampshire,9/15/2016,9/20/2016,50.0,28.0,49.5837,29.86247
Maine CD-1,now-cast,Maine People's Resource Center,10/7/2016,10/9/2016,48.7,32.3,50.53575,36.32701
Maine CD-2,now-cast,University of New Hampshire,9/15/2016,9/20/2016,34.0,48.0,32.86978,49.09681
U.S.,now-cast,"RKM Research and Communications, Inc.",9/18/2016,9/22/2016,45.0,43.0,47.1375,44.62347000000001
Iowa,now-cast,Loras College,9/20/2016,9/22/2016,37.7,38.3,40.72519000000001,42.32489
West Virginia,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,33.35,44.26,38.79555,50.87583
Utah,now-cast,Public Policy Polling,8/19/2016,8/21/2016,24.0,39.0,25.56999,42.03206
Vermont,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,57.13,17.11,62.60831,23.86652
New Mexico,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,38.58,31.99,44.02798,38.61626
Maine,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,41.52,26.58,46.99691,33.33047
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,44.0,44.0,44.59039,45.02779
Idaho,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,21.81,44.25,27.25948,50.88269
U.S.,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,37.69,35.07,43.12789,41.65292
Nevada,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,40.39,33.32,45.82844,39.90528
Nebraska,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,27.37,41.53,32.81434,48.14063
Florida,now-cast,Remington,10/20/2016,10/22/2016,46.0,46.0,45.88933,46.93126
Kansas,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,39.89,30.88,45.33738,37.50367
South Dakota,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,19.54,43.31,24.99125,49.95028
Oklahoma,now-cast,SoonerPoll.com,9/13/2016,9/15/2016,35.6,50.9,36.9176,52.21998
Ohio,now-cast,Remington,10/20/2016,10/22/2016,42.0,46.0,41.89063,46.94946
U.S.,now-cast,CVOTER International,10/30/2016,11/5/2016,49.25,45.92,47.38416,41.79443
Louisiana,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,28.59,49.58,33.99851,56.03676
Ohio,now-cast,Suffolk University,9/12/2016,9/14/2016,39.0,42.0,41.4935,45.33113
Mississippi,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,25.83,55.37,31.225720000000006,61.77184000000001
South Carolina,now-cast,First Tuesday Strategies,8/30/2016,9/1/2016,38.0,50.0,40.09152,51.96332
U.S.,now-cast,IBD/TIPP,10/25/2016,10/30/2016,44.7,43.7,46.76261,44.41244
Oregon,now-cast,icitizen,9/2/2016,9/7/2016,43.0,28.0,47.32609,34.30233
Alaska,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,29.31,32.58,34.76924,39.2546
Pennsylvania,now-cast,Remington,10/20/2016,10/22/2016,45.0,42.0,44.88362,42.85098
Louisiana,now-cast,Southern Media & Opinion Research,9/15/2016,9/17/2016,32.6,48.9,35.00575,51.40376
District of Columbia,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,47.91,19.37,53.40482,26.19738
Iowa,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,37.55,30.16,43.00385,36.81145
North Carolina,now-cast,Remington,10/20/2016,10/22/2016,44.0,47.0,43.87793,47.77109
Delaware,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,38.21,34.88,43.64482,41.44976
Maryland,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,47.3,25.15,52.72779,31.68956
Alaska,now-cast,Moore Information,9/13/2016,9/15/2016,31.0,39.0,34.79589,43.13116
Florida,now-cast,Gravis Marketing,10/11/2016,10/13/2016,46.0,42.0,46.30313,44.66016
Wyoming,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,26.68,57.27,32.13057,63.90736
U.S.,now-cast,IBD/TIPP,10/24/2016,10/29/2016,44.1,41.6,46.15893,42.5248
Connecticut,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,40.48,31.84,45.93958,38.51607
U.S.,now-cast,Rasmussen Reports/Pulse Opinion Research,10/30/2016,11/1/2016,44.0,44.0,44.59742,44.60176
North Dakota,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,26.18,48.14,31.64685,54.84729
Iowa,now-cast,YouGov,8/17/2016,8/19/2016,40.0,40.0,43.17831,44.506
