State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Colorado,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,41.46,25.52,47.51153,34.5058,64
Montana,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,32.15,36.3,39.58402,44.98865,56
Georgia,now-cast,Ipsos,10/31/2016,11/6/2016,42.38,47.79,41.65949000000001,46.8286,159
New Hampshire,now-cast,Public Policy Polling,1/4/2016,1/6/2016,50.0,36.0,47.84352,35.92014,10
Utah,now-cast,Dan Jones & Associates,7/18/2016,8/4/2016,25.0,37.0,26.93888,40.86052,29
Maryland,now-cast,SurveyMonkey,10/26/2016,11/1/2016,63.0,27.0,61.65219,27.18579,24
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/20/2016,10/26/2016,46.0,44.0,46.47025,46.11213,100
Rhode Island,now-cast,SurveyMonkey,10/20/2016,10/28/2016,48.0,37.0,46.61194,38.71592,5
Louisiana,now-cast,SurveyMonkey,10/24/2016,10/30/2016,36.0,54.0,34.61912,54.49258,64
Nevada,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,34.38,33.9,42.12701,43.33267,17
California,now-cast,Field Research Corporation (Field Poll),5/26/2016,5/31/2016,53.0,34.0,53.23336,35.32809,58
Washington,now-cast,SurveyMonkey,10/28/2016,11/3/2016,53.0,34.0,51.6943,33.83967,39
Maryland,now-cast,Ipsos,10/7/2016,10/20/2016,53.03,28.62,51.79884000000001,30.0085,24
Alabama,now-cast,Ipsos,9/16/2016,9/29/2016,37.02,55.52,36.83645,55.88916999999999,67
Iowa,now-cast,YouGov,8/17/2016,8/19/2016,40.0,40.0,43.17831,44.506,99
Indiana,now-cast,Ipsos,10/27/2016,11/2/2016,36.17,53.24,34.36528,51.68898,92
Indiana,now-cast,Ipsos,8/19/2016,9/1/2016,32.08,55.66,30.90183,55.73204000000001,92
Alabama,now-cast,Strategy Research,1/12/2016,1/12/2016,32.0,68.0,30.99948,67.10513,67
Nevada,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,31.76,35.73,39.25227,45.64674,17
Tennessee,now-cast,Ipsos,8/26/2016,9/8/2016,27.91,48.53,28.14577,49.72838,95
Iowa,now-cast,Marist College,1/2/2016,1/7/2016,48.0,40.0,45.9963,42.03026,99
South Carolina,now-cast,SurveyMonkey,10/18/2016,10/26/2016,43.0,45.0,41.53691,46.35694,46
Kansas,now-cast,Ipsos,9/9/2016,9/29/2016,34.4,53.56,33.343309999999995,53.06107,105
Kentucky,now-cast,Google Consumer Surveys,8/2/2016,8/4/2016,25.0,41.0,31.10403,50.40207,120
Idaho,now-cast,Ipsos,8/19/2016,9/8/2016,30.1,55.85,29.52341,56.50021,44
Montana,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,27.8,34.93,35.68198,43.99694,56
South Carolina,now-cast,Winthrop University,9/18/2016,9/26/2016,38.0,42.0,38.68307,43.65714000000001,46
Mississippi,now-cast,SurveyMonkey,10/26/2016,11/1/2016,41.0,47.0,39.61881,47.073,82
Utah,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,24.76,33.02,32.56131,41.97882,29
Arizona,now-cast,SurveyMonkey,10/24/2016,10/30/2016,43.0,43.0,41.654,43.67247,15
Nevada,now-cast,SurveyMonkey,10/27/2016,11/2/2016,43.0,44.0,41.67074,43.99785,17
Maine,now-cast,SurveyMonkey,10/30/2016,11/6/2016,47.0,39.0,45.64559000000001,38.43573,16
Washington,now-cast,YouGov,10/4/2016,11/6/2016,47.4,31.7,48.19983,34.29007,39
Oregon,now-cast,SurveyMonkey,10/18/2016,10/26/2016,52.0,33.0,50.56857,34.78635,36
South Carolina,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,29.2,45.11,34.60474,53.22411,46
North Carolina,now-cast,Public Policy Polling,10/21/2016,10/22/2016,47.0,44.0,46.456,45.43528,100
Kansas,now-cast,SurveyUSA,8/3/2016,8/7/2016,39.0,44.0,40.0537,47.18924000000001,105
North Carolina,now-cast,SurveyMonkey,10/30/2016,11/6/2016,48.0,41.0,46.59546,40.40562,100
Delaware,now-cast,Ipsos,9/2/2016,9/22/2016,40.04,32.95,39.83223,33.38474,3
Indiana,now-cast,Tarrance Group,7/20/2016,7/21/2016,36.0,50.0,36.68027,51.45522,92
Colorado,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,42.95,23.66,48.6056,32.64485,64
Texas,now-cast,Ipsos,10/28/2016,11/3/2016,39.55,49.4,38.82355,48.73749,254
New Hampshire,now-cast,MassINC Polling Group,10/29/2016,11/1/2016,39.0,40.0,39.49924,40.87957,10
Kansas,now-cast,Zogby Interactive/JZ Analytics,6/4/2016,6/6/2016,43.0,36.0,44.23519,41.18600000000001,105
Maryland,now-cast,SurveyMonkey,11/1/2016,11/7/2016,59.0,28.0,57.54366,27.36088,24
Florida,now-cast,Opinion Savvy/InsiderAdvantage,10/20/2016,10/20/2016,49.0,45.0,48.32152,47.01192,67
West Virginia,now-cast,SurveyMonkey,10/30/2016,11/6/2016,27.0,57.0,25.61885,56.41967,55
Wisconsin,now-cast,Ipsos,8/26/2016,9/8/2016,38.43,39.67,38.5478,40.82857,72
Kansas,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,36.26,32.61,41.60822,40.46196,105
New York,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,44.04,28.96,49.47715,37.44418,62
North Carolina,now-cast,CNN/Opinion Research Corp.,8/18/2016,8/23/2016,45.0,45.0,46.22451,46.4543,100
Nevada,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,40.39,33.32,45.82844,39.90528,17
Nevada,now-cast,Greenberg Quinlan Rosner (Democracy Corps),6/11/2016,6/20/2016,44.0,44.0,45.74681,48.76527,17
Michigan,now-cast,Target Insyght,9/18/2016,9/24/2016,46.0,41.0,48.56377,44.44761,83
Texas,now-cast,Ipsos,10/21/2016,10/27/2016,33.95,48.36,32.77303,48.79235,254
Ohio,now-cast,Ipsos,10/28/2016,11/3/2016,46.97,45.49,46.08207,44.67245,88
Pennsylvania,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.86,39.45,42.28677,45.98517,67
West Virginia,now-cast,Global Strategy Group,10/12/2016,10/17/2016,31.0,58.0,29.44791,59.41112,55
Illinois,now-cast,Basswood Research,7/11/2016,7/12/2016,46.4,32.5,49.63698,36.39108,102
Missouri,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,35.53,34.72,43.08778,44.29895,115
New Jersey,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,38.54,33.18,43.98566,39.79627,21
Washington,now-cast,SurveyMonkey,11/1/2016,11/7/2016,51.0,33.0,49.56419,32.37147,39
North Carolina,now-cast,Greenberg Quinlan Rosner (Democracy Corps),6/11/2016,6/20/2016,48.0,38.0,49.53235,42.42816,100
Florida,now-cast,SurveyMonkey,10/17/2016,10/25/2016,47.0,44.0,45.55861,45.73534,67
Maryland,now-cast,SurveyMonkey,8/9/2016,9/1/2016,54.0,27.0,56.09732,32.28865,24
New York,now-cast,Ipsos,10/14/2016,10/20/2016,53.73,30.1,52.76441,31.75953,62
Pennsylvania,now-cast,Remington,11/1/2016,11/2/2016,46.0,45.0,45.27345,43.00687,67
Georgia,now-cast,Opinion Savvy/InsiderAdvantage,5/15/2016,5/15/2016,41.0,44.0,39.71346,44.65921,159
Virginia,now-cast,Ipsos,8/5/2016,8/18/2016,45.18,39.02,44.95026,40.71901,134
Kansas,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,34.98,30.11,42.54955,40.17598,105
Kentucky,now-cast,SurveyMonkey,10/26/2016,11/1/2016,34.0,57.0,32.65611,57.19902,120
Michigan,now-cast,Ipsos,9/30/2016,10/6/2016,44.75,38.18,43.37756,38.76831,83
Utah,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,30.37,33.91,36.40311,42.82153,29
New Jersey,now-cast,Ipsos,9/23/2016,9/29/2016,46.68,34.18,47.07407,35.62909000000001,21
Colorado,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,38.94,23.91,46.83563,33.57339,64
Iowa,now-cast,Monmouth University,7/8/2016,7/11/2016,42.0,44.0,44.03567,47.96999,99
South Dakota,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,31.03,30.11,38.72101,38.83234,66
Georgia,now-cast,Ipsos,9/30/2016,10/13/2016,41.51,50.04,40.20119,50.80425,159
Colorado,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,42.67,27.9,48.12393,34.55181,64
Massachusetts,now-cast,SurveyMonkey,10/24/2016,10/30/2016,58.0,28.0,56.70188,28.91938,14
North Carolina,now-cast,Quinnipiac University,10/20/2016,10/26/2016,47.0,43.0,47.43972,43.94421,100
Alabama,now-cast,SurveyMonkey,10/26/2016,11/1/2016,37.0,52.0,35.62576,52.09648,67
Wisconsin,now-cast,Ipsos,9/30/2016,10/13/2016,41.56,37.39,40.41957,38.70997,72
Oklahoma,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,27.28,47.83,32.70621,54.36276,77
Arizona,now-cast,Arizona State University,8/17/2016,8/31/2016,39.9,36.8,42.333,42.29552,15
Indiana,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,30.92,31.52,38.52134,40.21079,92
South Dakota,now-cast,SurveyMonkey,8/9/2016,9/1/2016,29.0,43.0,31.31414,48.65924,66
Missouri,now-cast,Ipsos,8/5/2016,8/18/2016,46.15,41.13,45.52163,42.43982000000001,115
Tennessee,now-cast,SurveyMonkey,10/27/2016,11/2/2016,41.0,50.0,39.66201,49.97598,95
Hawaii,now-cast,SurveyMonkey,10/29/2016,11/4/2016,53.0,28.0,51.6983,27.69163,5
North Dakota,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,26.63,49.28,34.14557,58.08595,53
Wisconsin,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,42.17,27.33,47.81615,36.24576,72
Vermont,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,57.13,17.11,62.60831,23.86652,14
Pennsylvania,now-cast,Quinnipiac University,10/10/2016,10/16/2016,47.0,41.0,47.67455,43.09572,67
Ohio,now-cast,YouGov,7/13/2016,7/15/2016,44.0,40.0,47.75201,44.17365,88
Missouri,now-cast,Emerson College,9/9/2016,9/13/2016,34.0,47.0,36.36263,48.09357,115
Delaware,now-cast,SurveyMonkey,10/28/2016,11/3/2016,50.0,36.0,48.66647,35.78938,3
Pennsylvania,now-cast,Quinnipiac University,9/27/2016,10/2/2016,45.0,41.0,46.75393,43.01239,67
Nebraska,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,27.82,40.76,33.45921,49.62494,93
Massachusetts,now-cast,MassINC Polling Group,10/13/2016,10/16/2016,54.0,28.0,54.55929,32.10495,14
Colorado,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,44.08,25.6,49.52983,34.2289,64
South Dakota,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,27.93,38.56,35.79985999999999,48.18339,66
Colorado,now-cast,"Keating Research, Inc.",2/26/2016,2/29/2016,49.0,39.0,45.89312,40.51992,64
Michigan,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,37.13,29.03,44.63984,38.98068,83
Alabama,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,17.97,56.78,25.27439,65.91888,67
North Carolina,now-cast,Public Policy Polling,9/18/2016,9/20/2016,43.0,45.0,44.49078,47.10657,100
New Mexico,now-cast,SurveyMonkey,10/25/2016,10/31/2016,44.0,34.0,42.66186,34.473,33
Virginia,now-cast,Emerson College,8/30/2016,9/1/2016,44.0,43.0,46.44625,44.56026,134
Pennsylvania,now-cast,SurveyMonkey,10/25/2016,10/31/2016,49.0,41.0,47.64065,41.38191,67
Arizona,now-cast,SurveyMonkey,10/28/2016,11/3/2016,44.0,43.0,42.67612,42.80683,15
Wisconsin,now-cast,Clarity Campaign Labs,11/1/2016,11/2/2016,47.0,43.0,47.81342,42.95495,72
Kentucky,now-cast,Cygnal Political,10/26/2016,10/28/2016,32.0,56.0,32.07512,55.25824,120
Hawaii,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,45.23,23.66,50.70012,30.38131,5
Vermont,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,49.71,18.36,57.79811,27.70322,14
Virginia,now-cast,Hampton University,2/18/2016,2/22/2016,48.0,39.0,47.47254,39.8444,134
Georgia,now-cast,Landmark Communications,11/6/2016,11/6/2016,46.0,49.0,44.93772,48.44736,159
Pennsylvania,now-cast,Public Policy Polling,6/22/2016,6/23/2016,46.0,42.0,46.59462,44.31544,67
Arizona,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,37.8,33.82,45.13416,42.365,15
New York,now-cast,Marist College,4/6/2016,4/10/2016,61.0,32.0,59.62456,36.38256,62
Indiana,now-cast,Ipsos,9/30/2016,10/13/2016,38.27,47.14,36.01475,47.14244,92
Oregon,now-cast,SurveyMonkey,10/17/2016,10/25/2016,51.0,32.0,49.57309,33.93866,36
Virginia,now-cast,SurveyMonkey,10/8/2016,10/16/2016,49.0,38.0,47.82657,40.51777,134
Louisiana,now-cast,Ipsos,9/23/2016,10/13/2016,35.98,49.16,35.48838,50.37869,64
Maryland,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,47.3,25.15,52.72779,31.68956,24
New Hampshire,now-cast,Greenberg Quinlan Rosner (Democracy Corps),6/11/2016,6/20/2016,41.0,41.0,43.26869,46.58563,10
Alabama,now-cast,SurveyMonkey,10/25/2016,10/31/2016,35.0,55.0,33.61628,55.27724,67
Idaho,now-cast,SurveyMonkey,10/29/2016,11/4/2016,30.0,47.0,28.67668,46.66323,44
New York,now-cast,Gravis Marketing,8/4/2016,8/8/2016,48.0,34.0,50.15779000000001,37.88253,62
North Carolina,now-cast,Monmouth University,8/20/2016,8/23/2016,44.0,42.0,44.99499,45.22438,100
Montana,now-cast,Ipsos,7/29/2016,8/18/2016,39.93,46.87,38.15483,47.29985,56
North Carolina,now-cast,"National Research, Inc.",9/11/2016,9/12/2016,42.0,42.0,44.58236,45.6721,100
Connecticut,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,40.68,25.54,48.62981,35.28751,8
Iowa,now-cast,Ipsos,9/2/2016,9/22/2016,40.51,50.74,40.31748,51.2476,99
Utah,now-cast,SurveyUSA,6/2/2016,6/8/2016,35.0,35.0,36.5426,38.02718,29
Pennsylvania,now-cast,SurveyMonkey,10/24/2016,10/30/2016,49.0,41.0,47.63713,41.58546,67
Ohio,now-cast,SurveyMonkey,10/26/2016,11/1/2016,42.0,45.0,40.66221,45.21965,88
Idaho,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,26.63,38.39,32.07544,46.96878,44
Kentucky,now-cast,Ipsos,9/9/2016,9/22/2016,37.31,53.57,37.42031,54.24128,120
New York,now-cast,Ipsos,9/9/2016,9/15/2016,53.44,29.97,53.88644,31.07787,62
Georgia,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,31.5,39.2,38.54471,47.32865,159
Georgia,now-cast,Ipsos,9/9/2016,9/22/2016,42.71,46.04,42.35686,46.18082,159
New Hampshire,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,43.0,45.84086,40.91891,10
New Jersey,now-cast,SurveyMonkey,8/9/2016,9/1/2016,49.0,34.0,51.26246,39.57091,21
Georgia,now-cast,Gravis Marketing,8/4/2016,8/8/2016,39.0,43.0,40.86971,46.31551,159
Alabama,now-cast,SurveyMonkey,8/9/2016,9/1/2016,31.0,53.0,32.86257,57.88741,67
California,now-cast,SurveyMonkey,11/1/2016,11/7/2016,56.0,31.0,54.55217,30.36527,58
Rhode Island,now-cast,SurveyMonkey,10/26/2016,11/1/2016,49.0,36.0,47.72171,36.42072,5
Connecticut,now-cast,Ipsos,7/29/2016,8/18/2016,49.73,36.71,49.44743,38.65766,8
California,now-cast,YouGov,9/7/2016,9/13/2016,50.0,33.0,53.1784,36.34272,58
Nebraska CD-3,now-cast,Emerson College,9/25/2016,9/26/2016,20.0,65.0,18.47001,62.66177,
Texas,now-cast,SurveyMonkey,10/25/2016,10/31/2016,41.0,47.0,39.6438,47.39542,254
Wisconsin,now-cast,Remington,10/20/2016,10/22/2016,46.0,41.0,45.89787000000001,42.0511,72
Georgia,now-cast,Monmouth University,9/15/2016,9/18/2016,42.0,45.0,42.81636,47.11445,159
Colorado,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,37.36,28.53,45.29591,37.90825,64
District of Columbia,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,66.53,15.3,74.26642,24.42363,1
Idaho,now-cast,Ipsos,9/9/2016,9/29/2016,27.39,59.62,26.765,59.55819,44
Tennessee,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,31.08,43.0,36.69515,51.68901,95
New Hampshire,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.77,38.03,42.25786,44.8275,10
Texas,now-cast,Texas Lyceum,9/1/2016,9/11/2016,32.0,39.0,35.30408,43.52441,254
Missouri,now-cast,Remington,8/5/2016,8/6/2016,42.0,44.0,43.92909,46.83338,115
Louisiana,now-cast,"Mason-Dixon Polling & Research, Inc.",10/17/2016,10/19/2016,34.0,54.0,32.86522,56.19696999999999,64
Illinois,now-cast,SurveyMonkey,10/25/2016,10/31/2016,52.0,35.0,50.64857,35.41591,102
Idaho,now-cast,Dan Jones & Associates,4/8/2016,4/19/2016,32.0,49.0,30.06356,51.63181,44
Colorado,now-cast,SurveyMonkey,10/25/2016,10/31/2016,43.0,39.0,41.66782,39.49855,64
Pennsylvania,now-cast,Muhlenberg College,9/12/2016,9/16/2016,40.0,32.0,43.57004000000001,36.74739,67
Michigan,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,37.41,28.49,42.84656,36.96744,83
Colorado,now-cast,SurveyMonkey,10/8/2016,10/16/2016,44.0,37.0,42.86948,39.83159000000001,64
New York,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,41.23,26.04,48.74502,36.00068,62
Florida,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,36.5,44.1,41.93545,50.67244,67
Utah,now-cast,SurveyMonkey,11/1/2016,11/7/2016,31.0,34.0,29.55618,33.36734000000001,29
Maine,now-cast,Ipsos,9/23/2016,10/13/2016,48.2,34.82,46.6566,35.52281,16
Maryland,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,44.82,31.28,50.14977,36.79414000000001,24
Ohio,now-cast,Greenberg Quinlan Rosner (Democracy Corps),9/10/2016,9/19/2016,39.0,41.0,40.35574,44.49406,88
Ohio,now-cast,Ipsos,10/21/2016,10/27/2016,44.85,45.17,43.5088,45.48915,88
Virginia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,48.0,39.0,46.63917,39.59598,134
Maine CD-1,now-cast,Maine People's Resource Center,10/7/2016,10/9/2016,48.7,32.3,50.53575,36.32701,
North Carolina,now-cast,High Point University,10/1/2016,10/6/2016,43.0,42.0,44.27472,45.24207,100
Oklahoma,now-cast,SurveyMonkey,10/27/2016,11/2/2016,32.0,56.0,30.65767,55.96509,77
Virginia,now-cast,Roanoke College,10/29/2016,11/1/2016,45.0,38.0,44.92306,40.00589,134
Nebraska,now-cast,SurveyMonkey,10/25/2016,10/31/2016,32.0,52.0,30.65823,52.45737,93
Ohio,now-cast,SurveyMonkey,10/27/2016,11/2/2016,41.0,46.0,39.66964,45.99511,88
Florida,now-cast,Gravis Marketing,6/27/2016,6/28/2016,48.5,48.5,49.67081,50.61506,67
Kentucky,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,33.42,34.87,40.85272,44.67176,120
New Hampshire,now-cast,University of New Hampshire,2/20/2016,2/28/2016,47.0,39.0,44.11874,41.17781,10
North Carolina,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,33.51,35.36,40.8267,44.93769,100
Missouri,now-cast,Public Policy Polling,8/8/2016,8/9/2016,42.0,45.0,40.77929,45.8824,115
Iowa,now-cast,Public Policy Polling,6/22/2016,6/23/2016,41.0,39.0,41.45897,41.33202,99
Arkansas,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.32,44.58,32.74675,52.94544000000001,75
Texas,now-cast,YouGov,6/10/2016,6/20/2016,32.0,39.0,36.67355,45.1434,254
Pennsylvania,now-cast,SurveyMonkey,10/18/2016,10/26/2016,48.0,42.0,46.54886,43.519,67
New Hampshire,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,56.62,17.43,62.77681,26.84018,10
Colorado,now-cast,Ipsos,10/24/2016,11/6/2016,47.71,42.33,46.015,40.7196,64
Illinois,now-cast,Victory Research,10/16/2016,10/18/2016,51.2,36.1,50.57755,37.62995,102
Massachusetts,now-cast,Ipsos,10/31/2016,11/6/2016,53.14,35.79,52.18049,34.560590000000005,14
Colorado,now-cast,Ipsos,7/29/2016,8/18/2016,42.39,38.74,41.30322,39.83687000000001,64
Wyoming,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,20.8,52.8,26.150270000000006,60.67975,23
New Jersey,now-cast,Rutgers University,9/6/2016,9/10/2016,50.0,29.0,52.41924,35.07763,21
Virginia,now-cast,Christopher Newport University,9/15/2016,9/23/2016,39.0,33.0,42.02496,37.69239,134
Florida,now-cast,Florida Atlantic University,10/21/2016,10/23/2016,46.2,43.3,46.85445,44.61389000000001,67
Illinois,now-cast,We Ask America,6/5/2016,6/6/2016,47.0,35.0,50.03223,39.42157,102
Indiana,now-cast,Gravis Marketing,10/30/2016,11/1/2016,39.0,49.0,39.12321,48.83372,92
South Carolina,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,30.14,40.94,35.46303,48.4502,46
Colorado,now-cast,Ipsos,9/23/2016,10/6/2016,44.77,44.86,43.20148,44.92526,64
District of Columbia,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,44.27,25.62,52.55786,35.8923,1
Maine CD-1,now-cast,University of New Hampshire,10/20/2016,10/25/2016,54.0,34.0,53.87099,37.68224,
New Mexico,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,47.68,23.64,53.02861,31.4972,33
Arizona,now-cast,Greenberg Quinlan Rosner (Democracy Corps),6/11/2016,6/20/2016,39.0,45.0,40.80423,49.85553,15
Wisconsin,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,40.71,27.62,48.07993,36.21646,72
Florida,now-cast,Ipsos,10/7/2016,10/13/2016,47.57,41.81,46.90821,43.71601,67
Iowa,now-cast,Public Policy Polling,8/30/2016,8/31/2016,45.0,43.0,44.23738,43.51799000000001,99
Colorado,now-cast,University of Denver,10/29/2016,10/31/2016,39.0,39.0,40.56307,40.02843,64
Iowa,now-cast,SurveyMonkey,10/8/2016,10/16/2016,40.0,45.0,38.86934,47.83055,99
New Mexico,now-cast,Ipsos,10/20/2016,11/3/2016,44.68,41.92,40.6135,38.83404,33
West Virginia,now-cast,Just Win Strategies,9/8/2016,9/10/2016,30.0,57.0,32.91381,61.34659,55
Virginia,now-cast,Winthrop University,10/23/2016,10/30/2016,44.0,39.0,44.78788,41.16042,134
California,now-cast,Sacramento State,10/7/2016,10/13/2016,61.0,25.0,59.76103000000001,29.61529,58
Utah,now-cast,Gravis Marketing,5/31/2016,6/1/2016,26.0,29.0,28.6495,32.75962,29
Minnesota,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,34.61,26.85,42.51024,36.17735,87
Vermont,now-cast,SurveyMonkey,10/20/2016,10/28/2016,53.0,25.0,51.6005,26.5938,14
Illinois,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,34.63,28.61,42.34101,37.98678,102
Ohio,now-cast,Public Policy Polling,8/26/2016,8/27/2016,46.0,42.0,45.18755,42.57954,88
Texas,now-cast,Emerson College,10/31/2016,11/2/2016,34.5,49.2,34.68858,47.39611,254
Virginia,now-cast,SurveyMonkey,10/29/2016,11/4/2016,49.0,39.0,47.65505,38.63483,134
Maine,now-cast,University of New Hampshire,6/15/2016,6/21/2016,42.0,35.0,41.83071,38.09893,16
Wisconsin,now-cast,YouGov,10/4/2016,11/6/2016,42.2,37.7,42.99159,40.17443,72
Oregon,now-cast,Hoffman Research Group,9/29/2016,10/1/2016,45.0,33.0,46.53872,36.83879,36
Ohio,now-cast,Public Policy Polling,4/26/2016,4/27/2016,45.0,42.0,43.92175,43.76628,88
New Mexico,now-cast,Public Policy Polling,8/19/2016,8/21/2016,40.0,31.0,42.51368,35.67068,33
New Jersey,now-cast,Ipsos,10/7/2016,10/20/2016,52.66,31.71,51.94827,33.81041,21
Tennessee,now-cast,Ipsos,10/7/2016,10/20/2016,34.69,44.35,33.572540000000004,45.87896,95
Vermont,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,44.43,27.34,51.36837,36.488,14
Colorado,now-cast,University of Colorado,10/17/2016,10/24/2016,44.0,34.0,44.80798,39.0405,64
Alaska,now-cast,SurveyMonkey,10/28/2016,11/3/2016,35.0,46.0,33.69252,45.83645,29
Alabama,now-cast,SurveyMonkey,10/29/2016,11/4/2016,36.0,54.0,34.62735,53.59845,67
Idaho,now-cast,Ipsos,10/7/2016,10/27/2016,30.1,53.87,28.01887,54.50031,44
Hawaii,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,53.27,22.95,61.03611,33.39557,5
Ohio,now-cast,Public Policy Polling,6/22/2016,6/23/2016,44.0,40.0,44.41998,42.20066,88
North Carolina,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,35.04,36.78,40.98043,45.31799,100
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/31/2016,11/2/2016,49.0,44.0,49.57152,44.42657,100
Nevada,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,45.0,46.3848,43.44663,17
Connecticut,now-cast,SurveyMonkey,10/27/2016,11/2/2016,52.0,38.0,50.69333,38.05447,8
Georgia,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,34.06,40.4,39.38241,47.90184,159
Minnesota,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,37.46,28.24,44.84462,36.85759,87
California,now-cast,SurveyMonkey,10/17/2016,10/25/2016,54.0,31.0,52.56261,32.7915,58
Minnesota,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,38.29,24.77,46.15047,34.378820000000005,87
Nebraska,now-cast,Ipsos,9/30/2016,10/20/2016,34.73,46.81,33.04825,47.78739,93
North Carolina,now-cast,Ipsos,8/5/2016,8/18/2016,47.24,45.25,47.07069,46.92311,100
Georgia,now-cast,Landmark Communications,10/11/2016,10/12/2016,42.3,47.8,41.64367,50.21645,159
Arkansas,now-cast,Hendrix College,6/21/2016,6/21/2016,36.0,47.0,38.99126,51.76563,75
Virginia,now-cast,Ipsos,9/9/2016,9/15/2016,47.35,37.51,47.31141,38.09579,134
Michigan,now-cast,EPIC-MRA,7/30/2016,8/4/2016,43.0,32.0,46.63229000000001,37.53075,83
Colorado,now-cast,Ipsos,10/7/2016,10/20/2016,45.01,41.24,42.61937,41.75069000000001,64
Montana,now-cast,SurveyMonkey,10/18/2016,10/26/2016,35.0,51.0,33.56799,52.77842,56
New Hampshire,now-cast,American Research Group,9/20/2016,9/25/2016,46.0,42.0,49.0293,45.43778,10
South Carolina,now-cast,Ipsos,9/16/2016,9/29/2016,44.41,49.0,44.40826,49.56871,46
Florida,now-cast,YouGov,10/21/2016,10/22/2016,46.0,43.0,46.77888,45.21392,67
South Carolina,now-cast,Ipsos,10/21/2016,11/3/2016,44.27,49.19,43.75421,49.29948,46
Utah,now-cast,Ipsos,8/19/2016,9/8/2016,28.6,46.23,28.312620000000006,47.16207,29
Florida,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,36.53,41.36,41.86452,46.87659,67
