State,Poll Type,Clinton,Trump,Clinton Adjusted,Trump Adjusted
Michigan,now-cast,45.0,44.0,45.50533,43.23883
Oklahoma,now-cast,26.8,53.4,27.576970000000006,55.66911999999999
Alaska,now-cast,34.0,37.0,36.12599,41.24669
Iowa,now-cast,39.0,43.0,40.19111,46.06201
North Carolina,now-cast,43.0,42.0,44.27472,45.24207
Mississippi,now-cast,39.5,45.5,40.2569,47.48716
Louisiana,now-cast,35.0,52.0,35.12409,52.68442
New Hampshire,now-cast,41.0,38.0,41.77852,42.25343
Kansas,now-cast,31.6,47.5,32.39091,49.96492
Nebraska,now-cast,31.62,53.27,30.49465,52.4265
Illinois,now-cast,50.0,33.0,50.81241,36.13887
Arkansas,now-cast,30.5,48.0,31.27981,50.30899
Ohio,now-cast,44.0,42.0,43.8934,44.63922
Delaware,now-cast,49.0,39.0,47.6097,38.41417
North Carolina,now-cast,47.0,43.0,47.43972,43.94421
Colorado,now-cast,41.0,42.0,42.26072,42.73304
Missouri,now-cast,37.0,46.0,39.80698,48.82086
Idaho,now-cast,30.06,53.26,28.6353,52.12542
Idaho,now-cast,30.0,40.0,30.33734,43.01256
Virginia,now-cast,46.0,39.0,46.95195,42.48954000000001
Hawaii,now-cast,52.0,29.0,50.6398,28.43225
District of Columbia,now-cast,88.0,7.0,86.66086999999997,6.444903
Vermont,now-cast,60.0,27.0,58.64679,26.43645
Nevada,now-cast,42.5,40.9,43.28503,43.28225
New Hampshire,now-cast,44.42,41.81,42.77752,40.51941
New York,now-cast,52.0,31.0,52.67123,34.2473
Rhode Island,now-cast,49.0,36.0,47.66067,35.44479000000001
South Dakota,now-cast,31.0,53.0,29.62371,52.42258
Mississippi,now-cast,35.93,53.09,35.99962,53.36322
Delaware,now-cast,41.91,30.38,47.24413,35.89639000000001
West Virginia,now-cast,27.0,57.0,25.61885,56.41967
New Hampshire,now-cast,46.0,43.0,46.1396,43.22523
Utah,now-cast,28.0,32.0,28.46643,34.07548
Alaska,now-cast,31.0,47.0,29.63052,46.42668
West Virginia,now-cast,34.22,58.04,33.39396,57.49776
Montana,now-cast,31.0,53.0,29.62821,52.42529
Oregon,now-cast,43.0,36.0,45.22276,40.74376
Colorado,now-cast,49.0,38.0,49.20367,40.79226
Nebraska,now-cast,32.3,44.9,33.08891,47.33685
Nebraska,now-cast,29.3,55.7,31.18643,56.717830000000006
Maine CD-2,now-cast,44.0,40.0,41.38354,40.71056
New Mexico,now-cast,40.0,36.0,38.62092,35.42091
North Dakota,now-cast,29.0,57.0,27.63701,56.430580000000006
Oregon,now-cast,45.0,33.0,46.53872,36.83879
Washington,now-cast,47.0,31.0,48.79122,34.92269
West Virginia,now-cast,25.7,54.0,26.48971,56.44804
Missouri,now-cast,39.0,50.0,38.89727,50.42717
New Hampshire,now-cast,49.0,38.0,47.65493,37.44134
Pennsylvania,now-cast,50.0,40.0,49.95122,42.4894
West Virginia,now-cast,25.29,51.55,30.63079,57.06981999999999
Idaho,now-cast,29.0,47.0,27.6222,46.42168
New Hampshire,now-cast,47.0,41.0,46.86588,42.20224
New Mexico,now-cast,41.7,34.6,42.49131,37.07049
Arizona,now-cast,42.0,42.0,42.66912,45.32753
Mississippi,now-cast,41.0,50.0,39.57635,49.39414
Maine,now-cast,38.7,34.0,39.51036,36.73802
Montana,now-cast,27.0,43.0,30.05575,47.73109
North Dakota,now-cast,26.18,49.74,24.64031,48.29604000000001
Ohio,now-cast,44.0,42.0,44.35323,45.6123
Washington,now-cast,44.2,38.4,46.20533,39.60969
Idaho,now-cast,25.3,44.8,26.0923,47.28435
Minnesota,now-cast,43.0,43.0,43.82193,43.56542
South Dakota,now-cast,35.48,36.34,40.82432,41.86164
Ohio,now-cast,37.0,42.0,40.33017,44.89027
North Carolina,now-cast,40.0,45.0,43.15976,47.66998
New Hampshire,now-cast,43.0,34.4,43.81757,37.23932
Wyoming,now-cast,22.0,58.0,20.62313,57.422230000000006
New Hampshire,now-cast,46.0,38.0,46.60487,42.17197
Utah,now-cast,24.0,27.0,24.09477,27.68761
New Mexico,now-cast,40.94,38.34,37.04176,34.72947
North Dakota,now-cast,22.36,47.26,27.714,52.78663
Nevada,now-cast,40.0,43.0,43.33921,45.90195
Maine,now-cast,47.0,39.0,45.64559000000001,38.43573
New Hampshire,now-cast,43.0,37.0,44.83801,40.69174
Tennessee,now-cast,38.0,50.0,38.42747,52.09093
Delaware,now-cast,51.0,30.0,51.95494,32.70745
Nevada,now-cast,44.2,38.2,45.95847,41.42051
Kentucky,now-cast,28.4,31.8,34.83303,42.26878
Utah,now-cast,22.8,22.6,29.44325,33.08569
Wyoming,now-cast,25.04,47.09,30.3839,52.61143000000001
Nevada,now-cast,46.0,46.0,46.07293,47.15921
Delaware,now-cast,52.03,36.42,51.11763,35.77417
Florida,now-cast,44.82,48.68,44.7322,46.68735
Florida,now-cast,49.3,45.0,48.70194,44.64815
Arkansas,now-cast,34.0,55.0,32.60603,54.41196
Montana,now-cast,31.7,44.1,32.49694,46.64949
New Hampshire,now-cast,45.98,31.22,51.34702,36.75335
Maine,now-cast,52.03,21.28,57.39023,26.80985
Nebraska,now-cast,34.0,52.0,32.61782,51.41904
Louisiana,now-cast,38.0,52.0,36.58726,51.40069
Ohio,now-cast,39.0,44.0,41.64295,46.87627
Hawaii,now-cast,50.3,27.9,51.10589,30.5752
Rhode Island,now-cast,47.0,29.2,47.822,32.10154
Alaska,now-cast,30.6,36.1,33.53247,40.46051
New Hampshire,now-cast,48.0,37.0,45.37366,37.43895
North Carolina,now-cast,46.0,42.0,46.39911,42.95122
Nevada,now-cast,44.0,43.0,42.61279,42.41602
Delaware,now-cast,50.7,31.6,51.48265,33.948809999999995
Alabama,now-cast,36.0,54.0,34.58204,53.39756
Minnesota,now-cast,46.0,37.0,44.62287,36.42208
Alaska,now-cast,23.23,47.41,28.57927,52.9342
Vermont,now-cast,52.12,18.86,57.4811,24.3903
California,now-cast,54.0,30.0,55.29854,33.30126
New Hampshire,now-cast,47.0,40.0,46.93991,41.26349
South Dakota,now-cast,31.3,49.6,32.09346,52.10069
Maryland,now-cast,60.0,29.0,58.6037,28.41057
Massachusetts,now-cast,47.0,34.0,50.47665,37.6301
Montana,now-cast,34.75,53.66,32.30363,51.51509
Oklahoma,now-cast,32.0,56.0,30.60235,55.40976
Pennsylvania,now-cast,44.0,40.0,44.9924,43.47789
Vermont,now-cast,48.27,23.4,47.49224,22.72783
Arizona,now-cast,41.0,45.0,41.79758,45.40677
Maine CD-1,now-cast,45.5,35.5,46.84038,39.32883
Kentucky,now-cast,35.0,53.0,33.60691,52.41249000000001
New Mexico,now-cast,35.0,31.0,37.41319,34.209720000000004
Florida,now-cast,41.0,38.0,43.67439,42.88902
Utah,now-cast,31.0,34.0,29.61726,33.41208
Kansas,now-cast,36.0,48.0,34.62041,47.4206
Maine CD-2,now-cast,38.2,37.0,39.51646,40.59893
Virginia,now-cast,46.0,43.0,46.41993,44.08542
Massachusetts,now-cast,56.0,29.0,54.65882,28.44368
New Jersey,now-cast,53.0,37.0,51.61894,36.41972
New Hampshire,now-cast,44.0,36.0,44.19184,37.26775
District of Columbia,now-cast,53.62,10.62,58.99134,16.15557
Tennessee,now-cast,40.0,49.0,38.60582,48.41184000000001
New Hampshire,now-cast,44.0,42.0,45.32594,45.98928
Indiana,now-cast,38.0,43.0,39.17941,47.41184000000001
Washington,now-cast,51.0,34.0,49.63195,33.42753
Connecticut,now-cast,51.0,37.0,49.63081,36.42685
Ohio,now-cast,46.0,42.0,47.52487,45.23904
New Hampshire,now-cast,45.0,39.0,46.11025,42.62594
Wisconsin,now-cast,44.0,37.0,44.59415,40.53441
Hawaii,now-cast,47.31,28.75,46.15473,27.91806
Arizona,now-cast,48.0,46.0,46.29491,47.35708
Utah,now-cast,25.0,30.0,24.45568,32.68066
Missouri,now-cast,40.0,48.0,38.60559,47.4117
North Dakota,now-cast,32.3,44.8,33.10374,47.44501
Rhode Island,now-cast,40.69,23.1,46.06119,28.6355
Oregon,now-cast,51.0,35.0,49.62898,34.42575
Georgia,now-cast,46.1,50.1,45.40181,51.83543
South Carolina,now-cast,38.0,42.0,38.68307,43.65714000000001
South Carolina,now-cast,44.0,46.0,42.58698,45.40052
Maine,now-cast,42.0,39.0,43.64753,41.62719
Maryland,now-cast,58.0,25.0,59.6805,28.35968
Alaska,now-cast,37.4,37.7,38.19873,40.2746
Minnesota,now-cast,46.0,39.0,47.19508,40.80397
Vermont,now-cast,40.5,24.5,41.31129,27.251040000000003
District of Columbia,now-cast,79.8,6.8,80.62216,9.703661
Florida,now-cast,48.0,47.0,48.10199,47.91171
Pennsylvania,now-cast,45.0,44.0,46.0378,44.42689
Florida,now-cast,48.0,44.0,48.68785,46.20308
North Carolina,now-cast,44.5,39.0,46.18559000000001,42.8704
Hawaii,now-cast,43.62,28.72,48.97602,34.24767
Colorado,now-cast,45.0,44.0,45.01801,43.23525
Iowa,now-cast,37.0,47.0,35.62593,46.42392
New Hampshire,now-cast,49.0,34.0,49.10519,38.96399
Massachusetts,now-cast,58.0,26.0,58.12668000000001,30.523640000000004
Florida,now-cast,44.0,45.0,45.11113,46.11468
Colorado,now-cast,46.0,40.0,47.14015,42.62476
Utah,now-cast,26.0,26.0,27.55476,31.61863
North Carolina,now-cast,48.0,45.0,48.55997,45.30788
New Hampshire,now-cast,43.0,42.0,43.62978,42.37049
Ohio,now-cast,44.0,43.0,44.57928,43.3252
Pennsylvania,now-cast,48.0,42.0,48.56862,42.31564
Nevada,now-cast,43.0,43.0,43.5803,43.32611
Indiana,now-cast,35.0,52.0,33.602909999999994,51.41009
Florida,now-cast,45.0,46.0,45.57731,46.32343
Pennsylvania,now-cast,47.0,38.0,47.96432,42.70412
Missouri,now-cast,39.0,47.0,39.14167,47.64395
Maine,now-cast,42.0,36.0,43.32906,39.72005
Pennsylvania,now-cast,45.0,39.0,45.96389,41.30405
Illinois,now-cast,52.0,35.0,50.60958,34.4141
Colorado,now-cast,40.0,35.0,39.69425,37.95139
New Hampshire,now-cast,47.0,39.0,46.98706,40.38618
Florida,now-cast,44.0,45.0,46.34107,48.05474
Wyoming,now-cast,26.2,59.0,26.99302,61.49441
Florida,now-cast,44.0,41.0,45.2529,45.82789
Michigan,now-cast,46.0,41.0,44.65492,39.84879
Virginia,now-cast,49.0,39.0,47.6046,38.4111
Nevada,now-cast,43.0,41.0,43.36266,44.44051
Pennsylvania,now-cast,47.0,44.0,47.1059,44.44162
Nevada,now-cast,44.0,48.0,44.00146,47.19376
West Virginia,now-cast,28.0,60.0,28.14775,60.58347
New York,now-cast,58.0,31.0,56.61503,30.41737
New Hampshire,now-cast,47.0,38.0,48.50004000000001,40.9715
Michigan,now-cast,43.0,32.0,45.64342,36.43402
Georgia,now-cast,38.0,44.0,39.95314000000001,46.75325
Florida,now-cast,46.0,41.0,47.05148,43.41183
Pennsylvania,now-cast,40.0,38.0,43.42574000000001,42.53369
Arizona,now-cast,44.0,42.0,45.14904,43.21863
Colorado,now-cast,44.0,33.0,45.53654,37.34744
Maine CD-2,now-cast,37.0,47.0,38.54987,49.49235
Wisconsin,now-cast,43.2,34.6,44.81685,38.89404
Georgia,now-cast,45.0,45.0,43.58616,44.40003
Wisconsin,now-cast,44.0,43.0,42.62128,42.42113
Georgia,now-cast,42.0,45.0,42.81636,47.11445
Maine CD-1,now-cast,49.0,31.0,50.73524000000001,33.7483
Pennsylvania,now-cast,45.0,41.0,46.75393,43.01239
Virginia,now-cast,46.0,40.0,46.97731,42.32846
Iowa,now-cast,37.0,45.0,38.31994,47.82249
Connecticut,now-cast,50.0,35.0,52.73206999999999,36.81982
Virginia,now-cast,45.0,39.0,47.60131,40.94564
North Carolina,now-cast,38.0,35.0,42.39822,41.10244
Ohio,now-cast,42.0,47.0,43.81497,49.14065
Ohio,now-cast,43.0,48.0,43.00036,47.19102
Virginia,now-cast,45.0,33.0,45.96054,37.52667
California,now-cast,56.0,30.0,54.61541,29.4176
Michigan,now-cast,46.0,41.0,48.56377,44.44761
Arkansas,now-cast,29.0,57.0,31.36744,58.09996999999999
New Hampshire,now-cast,42.0,35.0,44.2238,39.02168
Pennsylvania,now-cast,45.0,43.0,44.98899,42.16251
North Carolina,now-cast,45.0,47.0,44.97976,46.13937
New Jersey,now-cast,46.2,39.8,46.57059,40.53354
Virginia,now-cast,40.0,37.0,43.4538,40.37091
Arizona,now-cast,45.0,43.0,43.61742,42.41881
Florida,now-cast,44.0,48.0,43.99826,47.18575
Colorado,now-cast,44.0,42.0,46.82611,44.23904
Michigan,now-cast,42.0,35.0,45.00036,39.58046
Wisconsin,now-cast,48.0,40.0,48.99706,42.78994
Nevada,now-cast,45.0,44.0,45.73301,46.99162000000001
New Hampshire,now-cast,47.0,40.0,47.00186,41.5382
Pennsylvania,now-cast,42.0,41.0,45.23298,44.37213
Pennsylvania,now-cast,47.0,42.0,45.60283,41.41005
Nevada,now-cast,44.0,40.0,44.59096,41.02972000000001
North Carolina,now-cast,46.0,46.0,46.56982,46.95829000000001
New Hampshire,now-cast,44.0,40.0,44.6424,41.20353
Ohio,now-cast,47.0,41.0,47.58989,42.02612
Pennsylvania,now-cast,43.0,44.0,43.57881,44.98867
Wisconsin,now-cast,44.5,38.4,46.85537,39.39091
Nevada,now-cast,44.0,43.0,44.5928,43.45452
New Hampshire,now-cast,43.0,42.0,43.64457,42.52251
Ohio,now-cast,45.0,43.0,45.59172,43.45311
North Carolina,now-cast,49.0,44.0,49.57152,44.42657
Pennsylvania,now-cast,46.0,43.0,46.58057,43.43846
Florida,now-cast,47.0,46.0,47.58784,47.0192
Florida,now-cast,45.0,45.0,45.58966,45.4504
Iowa,now-cast,37.0,44.0,39.82537,46.23807
Illinois,now-cast,51.24,32.71,54.03368,36.14184
Colorado,now-cast,43.0,39.0,41.62600000000001,38.42396
Wisconsin,now-cast,46.0,42.0,46.01211,41.22046
Florida,now-cast,41.0,40.0,43.66327,44.23352
Ohio,now-cast,42.0,45.0,40.61191,44.4155
South Carolina,now-cast,37.57,53.0,39.47183,53.14086999999999
Illinois,now-cast,44.5,38.7,46.73525,39.53566
New Jersey,now-cast,47.0,43.0,49.59676,44.62849
Texas,now-cast,42.0,47.0,40.60551,46.41166
Georgia,now-cast,42.3,47.8,41.64367,50.21645
Georgia,now-cast,40.0,47.0,42.4077,48.69294
Colorado,now-cast,40.0,39.0,43.00915,42.08963
Ohio,now-cast,43.2,40.3,44.10521,44.86292
North Carolina,now-cast,48.0,41.0,46.59546,40.40562
Florida,now-cast,48.6,42.9,49.90807,45.22056
Pennsylvania,now-cast,48.0,40.0,49.48839,43.10609
Iowa,now-cast,45.0,43.0,44.23738,43.51799000000001
Michigan,now-cast,44.0,42.0,42.61452,41.41706
North Dakota,now-cast,32.0,43.0,34.19297,47.45211
New Hampshire,now-cast,47.0,38.0,47.00803,39.71378
Kansas,now-cast,37.0,44.0,39.31393,46.7785
Nevada,now-cast,42.0,44.0,43.19947,46.66195
Nevada,now-cast,43.0,43.0,44.12458,44.15157
Georgia,now-cast,43.0,47.0,42.10354,48.77319
New Jersey,now-cast,50.0,29.0,52.41924,35.07763
Arizona,now-cast,40.0,42.0,40.77504,43.06683
New Hampshire,now-cast,46.0,39.0,46.00852,40.95235
Colorado,now-cast,41.0,34.0,43.0607,38.96081
New Hampshire,now-cast,39.0,37.0,40.43015,41.41289
Arizona,now-cast,38.0,40.0,39.00822,43.8303
Maine,now-cast,40.0,36.0,42.39925,40.65354
North Carolina,now-cast,44.0,40.0,45.17949,43.26431
Nevada,now-cast,42.0,42.0,43.36509,45.50625
Pennsylvania,now-cast,46.0,38.0,47.25843,41.36722
Ohio,now-cast,39.0,41.0,40.35574,44.49406
Nevada,now-cast,41.0,42.0,41.95606,45.75828
Illinois,now-cast,48.6,35.1,49.89037,36.63485
Pennsylvania,now-cast,47.0,40.0,47.47578,42.18264
North Carolina,now-cast,46.0,44.0,46.47025,46.11213
Ohio,now-cast,41.0,44.0,41.48259,46.26956
Florida,now-cast,46.0,43.0,46.56577,44.48283
North Carolina,now-cast,43.0,42.0,45.42558,44.97545
Ohio,now-cast,41.0,46.0,42.46035,46.92359
Florida,now-cast,43.0,46.0,43.48133,48.25349
Utah,now-cast,28.0,30.0,28.54175,33.15626
Virginia,now-cast,47.0,43.0,46.9912,42.16805
Colorado,now-cast,45.0,43.0,44.9015,44.1022
Vermont,now-cast,47.0,26.0,49.91413,28.07722
Hawaii,now-cast,45.23,23.66,50.70012,30.38131
Nevada,now-cast,44.0,47.0,43.8913,47.95892
Pennsylvania,now-cast,45.0,44.0,45.58556,44.58032
Ohio,now-cast,46.0,43.0,46.59692,43.60085
New Hampshire,now-cast,45.0,41.0,45.65074,41.6981
Nevada,now-cast,44.0,44.0,44.59801,44.60282
North Carolina,now-cast,47.0,44.0,47.57634,44.56367
Georgia,now-cast,42.0,44.0,42.65659,47.34479
Ohio,now-cast,45.0,43.0,45.43662,44.19297
Florida,now-cast,46.0,46.0,46.59481,46.59706
Florida,now-cast,44.0,47.0,45.44174,47.89864
Florida,now-cast,42.0,46.0,44.44009000000001,49.55197
Florida,now-cast,45.0,43.0,46.02021,45.40653
Colorado,now-cast,44.0,39.0,44.28426,41.85287
West Virginia,now-cast,30.0,57.0,32.91381,61.34659
Nevada,now-cast,46.0,42.0,46.48827,44.56948
Texas,now-cast,37.95,44.87,39.85962,46.86494
Pennsylvania,now-cast,46.0,40.0,47.99195,43.90927
Texas,now-cast,32.0,39.0,35.30408,43.52441
Arkansas,now-cast,31.49,36.09,36.92052,42.64127
Maine CD-2,now-cast,40.0,44.0,38.32551,44.15262
Oklahoma,now-cast,27.28,47.83,32.70621,54.36276
Montana,now-cast,27.14,39.32,32.59652,45.98294
Arkansas,now-cast,34.0,55.0,35.18675,56.59265
Florida,now-cast,47.0,45.0,45.61023,44.41449
Kansas,now-cast,39.0,47.0,42.43925,49.07683
New Hampshire,now-cast,46.0,38.0,45.98672,40.4664
New Hampshire,now-cast,46.0,40.0,45.99968,42.21922
California,now-cast,47.0,31.0,51.28532,33.60621
Wyoming,now-cast,19.0,54.0,21.14712,58.52647
North Carolina,now-cast,44.0,42.0,44.90784,44.20206
Arizona,now-cast,43.0,46.0,42.13822,46.56445
North Carolina,now-cast,42.0,42.0,44.58236,45.6721
Pennsylvania,now-cast,45.0,43.0,46.57445,45.41105
Louisiana,now-cast,35.0,45.0,36.86239000000001,47.77159
Minnesota,now-cast,44.0,38.0,46.58427,42.99698
Massachusetts,now-cast,50.0,33.0,53.0512,35.27103
Virginia,now-cast,46.0,34.0,46.74368,34.91458
Maine CD-2,now-cast,38.8,40.4,40.58156,44.185
Oregon,now-cast,47.0,39.0,48.03426,41.90177
Massachusetts,now-cast,54.0,28.0,57.22671999999999,32.418240000000004
South Dakota,now-cast,32.76,49.64,30.29753,49.90755
New York,now-cast,52.1,34.2,54.64921999999999,36.0165
Maine CD-1,now-cast,50.0,28.0,49.5837,29.86247
Maine CD-1,now-cast,48.7,32.3,50.53575,36.32701
Maine CD-2,now-cast,34.0,48.0,32.86978,49.09681
Iowa,now-cast,37.7,38.3,40.72519000000001,42.32489
West Virginia,now-cast,33.35,44.26,38.79555,50.87583
Utah,now-cast,24.0,39.0,25.56999,42.03206
Vermont,now-cast,57.13,17.11,62.60831,23.86652
New Mexico,now-cast,38.58,31.99,44.02798,38.61626
Maine,now-cast,41.52,26.58,46.99691,33.33047
Idaho,now-cast,21.81,44.25,27.25948,50.88269
Nevada,now-cast,40.39,33.32,45.82844,39.90528
Nebraska,now-cast,27.37,41.53,32.81434,48.14063
Florida,now-cast,46.0,46.0,45.88933,46.93126
Kansas,now-cast,39.89,30.88,45.33738,37.50367
South Dakota,now-cast,19.54,43.31,24.99125,49.95028
Oklahoma,now-cast,35.6,50.9,36.9176,52.21998
Ohio,now-cast,42.0,46.0,41.89063,46.94946
Louisiana,now-cast,28.59,49.58,33.99851,56.03676
Ohio,now-cast,39.0,42.0,41.4935,45.33113
Mississippi,now-cast,25.83,55.37,31.225720000000006,61.77184000000001
South Carolina,now-cast,38.0,50.0,40.09152,51.96332
Oregon,now-cast,43.0,28.0,47.32609,34.30233
Alaska,now-cast,29.31,32.58,34.76924,39.2546
Pennsylvania,now-cast,45.0,42.0,44.88362,42.85098
Louisiana,now-cast,32.6,48.9,35.00575,51.40376
District of Columbia,now-cast,47.91,19.37,53.40482,26.19738
Iowa,now-cast,37.55,30.16,43.00385,36.81145
North Carolina,now-cast,44.0,47.0,43.87793,47.77109
Delaware,now-cast,38.21,34.88,43.64482,41.44976
Maryland,now-cast,47.3,25.15,52.72779,31.68956
Alaska,now-cast,31.0,39.0,34.79589,43.13116
Florida,now-cast,46.0,42.0,46.30313,44.66016
Wyoming,now-cast,26.68,57.27,32.13057,63.90736
Connecticut,now-cast,40.48,31.84,45.93958,38.51607
North Dakota,now-cast,26.18,48.14,31.64685,54.84729
Iowa,now-cast,40.0,40.0,43.17831,44.506
Wisconsin,now-cast,46.0,41.0,45.89787000000001,42.0511
Virginia,now-cast,44.0,29.0,45.13284,33.937870000000004
New Hampshire,now-cast,36.77,38.03,42.25786,44.8275
Rhode Island,now-cast,38.44,36.63,43.93459,43.45639
Maryland,now-cast,54.0,25.0,56.8564,29.13227
Maine CD-2,now-cast,36.2,40.7,39.00153,42.61801
Maine CD-1,now-cast,52.0,30.1,54.9893,32.2835
Michigan,now-cast,47.0,44.0,45.69506,42.95319
Louisiana,now-cast,40.0,46.0,39.19093,47.8588
North Carolina,now-cast,46.0,44.0,46.02473,45.5778
Illinois,now-cast,43.0,30.0,45.99377,33.9837
Alabama,now-cast,20.38,56.12,25.78239,62.55051
Wyoming,now-cast,24.0,60.0,22.581,61.38556
South Carolina,now-cast,31.9,38.15,37.30818,44.60536
New Mexico,now-cast,40.0,31.0,42.51368,35.67068
Massachusetts,now-cast,50.89,33.42,49.67913,33.37186
Virginia,now-cast,45.0,36.0,45.71415,40.71583
North Carolina,now-cast,47.99,43.77,46.87642,44.62963
Indiana,now-cast,37.96,52.81,36.19898,51.11028
Florida,now-cast,49.0,45.0,48.32152,47.01192
Tennessee,now-cast,31.36,42.27,36.79028,48.82022
Virginia,now-cast,48.0,43.0,47.88498,43.87011
Texas,now-cast,36.1,42.4,38.48877,43.58572
Oregon,now-cast,37.6,30.6,43.05743,37.26685
Georgia,now-cast,41.76,48.13,40.9854,47.3998
Wisconsin,now-cast,43.0,38.0,44.39384,41.42435
Illinois,now-cast,51.74,38.99,51.222,38.54004000000001
Rhode Island,now-cast,44.0,41.0,47.07226,43.3008
North Carolina,now-cast,46.83,47.7,46.32158,47.24536
Kentucky,now-cast,29.49,41.4,34.92155,47.95571
Michigan,now-cast,43.33,43.13,42.15392,42.02694
Massachusetts,now-cast,52.57,36.76,51.57465,35.88239
Massachusetts,now-cast,46.3,24.67,51.79242,31.48708
Virginia,now-cast,48.83,41.92,48.18007,41.33306
Texas,now-cast,38.0,44.0,39.54514,47.61275
California,now-cast,52.0,31.0,56.21497,35.39978
Minnesota,now-cast,34.77,28.58,40.22027,35.21608
New Hampshire,now-cast,46.0,42.0,49.0293,45.43778
Indiana,now-cast,38.9,53.54,36.53027,53.21841
Colorado,now-cast,42.67,27.9,48.12393,34.55181
Ohio,now-cast,46.0,42.0,45.18755,42.57954
Florida,now-cast,43.0,41.0,45.94377,43.92792
Missouri,now-cast,37.32,38.14,42.75,44.68907
North Carolina,now-cast,41.0,44.0,43.40923,47.37684
New Jersey,now-cast,49.72,36.13,49.70642,36.1939
Georgia,now-cast,32.92,41.56,38.32722,48.01124
North Carolina,now-cast,43.0,44.0,45.44944,47.90816
Pennsylvania,now-cast,48.15,44.04,47.54162,43.49284
Texas,now-cast,39.55,49.4,38.82355,48.73749
Ohio,now-cast,46.97,45.49,46.08207,44.67245
Arizona,now-cast,37.89,32.88,43.33388,39.48864
New York,now-cast,56.42,34.22,56.15384,34.02737
District of Columbia,now-cast,87.0,5.0,85.6121,6.717648
Washington,now-cast,43.73,26.69,49.19091,33.37178
California,now-cast,57.0,30.0,59.89836999999999,33.69147
Pennsylvania,now-cast,48.0,40.0,49.16496,43.14311
Georgia,now-cast,39.0,45.0,41.14841,45.80854
Maine,now-cast,44.0,36.1,45.81011,40.0125
Indiana,now-cast,36.46,33.82,41.88685,40.35554000000001
Washington,now-cast,38.0,28.0,41.07792,31.92928
Colorado,now-cast,38.0,42.0,40.58758,43.39288
Maine,now-cast,44.0,35.0,46.90045,37.05788
Alabama,now-cast,38.93,51.28,37.72898,52.30703
South Carolina,now-cast,39.0,41.0,41.00206,45.22701
Arizona,now-cast,33.0,37.0,35.92019000000001,40.72038
Arizona,now-cast,41.0,41.0,41.74234000000001,43.62807
New York,now-cast,51.0,30.0,53.69336,34.27434
South Carolina,now-cast,35.0,48.0,38.17324,50.65254
Georgia,now-cast,43.11,47.84,41.7347,48.34422
Kentucky,now-cast,23.9,35.4,32.32424,45.74927
North Carolina,now-cast,46.0,42.0,49.0327,45.43091
Virginia,now-cast,38.73,33.85,44.15884000000001,40.39405
North Carolina,now-cast,34.4,40.6,39.81813,47.09808
California,now-cast,60.4,30.34,59.88401,29.89793
Michigan,now-cast,41.34,37.11,39.70953,37.16067
Virginia,now-cast,43.0,31.0,44.91247,37.47803
Delaware,now-cast,52.0,36.0,50.56993,37.26741
New Jersey,now-cast,50.95,34.25,50.32003,35.82967
South Carolina,now-cast,43.53,48.62,42.46901,49.84647
Nevada,now-cast,40.0,42.0,42.86984,45.65368
Nebraska,now-cast,31.34,52.38,29.72957,52.6751
Kansas,now-cast,36.0,48.0,37.34004,50.13144000000001
Maine,now-cast,43.0,33.0,45.46278,37.48284
Connecticut,now-cast,51.05,36.25,49.41618,37.43133
Michigan,now-cast,37.5,34.9,42.94047,41.49401
Kentucky,now-cast,37.65,56.14,36.44616,57.46355
Michigan,now-cast,43.6,37.2,46.15007,41.44576
North Carolina,now-cast,44.0,42.0,44.99499,45.22438
South Carolina,now-cast,39.0,39.0,40.74096,44.29347
Wisconsin,now-cast,41.21,28.69,46.65841,35.31808
Arizona,now-cast,38.0,45.0,39.46251,46.86108
Virginia,now-cast,48.11,39.3,46.85054,40.10571
Iowa,now-cast,35.0,35.0,37.11483,41.87166
Florida,now-cast,47.88,46.89,47.82889,46.90758
Virginia,now-cast,45.0,39.0,46.74667,41.55426
Missouri,now-cast,41.0,47.0,39.95487,47.30759000000001
Mississippi,now-cast,31.66,56.41,31.2654,57.55512
North Carolina,now-cast,45.0,45.0,46.22451,46.4543
Ohio,now-cast,42.0,43.0,44.04521,45.35446
West Virginia,now-cast,24.58,47.56,29.92705,55.39603
Pennsylvania,now-cast,47.0,40.0,47.55615,41.60706
Ohio,now-cast,46.0,42.0,46.5663,43.67013
North Carolina,now-cast,47.0,44.0,47.54792,45.55589000000001
Nevada,now-cast,43.0,42.0,43.56727,43.67619000000001
New Hampshire,now-cast,47.0,39.0,47.61435,40.96892
South Dakota,now-cast,29.92,41.88,35.27071,49.76567
Oregon,now-cast,46.26,37.69,44.4621,38.68521
Florida,now-cast,42.0,48.0,42.56442,49.65847
Colorado,now-cast,41.0,29.0,43.12606,35.8989
Texas,now-cast,31.53,43.03,36.95992,49.57868
Rhode Island,now-cast,48.0,37.0,46.61194,38.71592
North Dakota,now-cast,31.0,54.0,29.592440000000003,55.50776
Vermont,now-cast,46.34,21.29,46.16943,22.31829
Missouri,now-cast,42.0,47.0,42.30223,48.73411
Vermont,now-cast,55.01,14.83,60.37811,22.95169
New Jersey,now-cast,38.54,33.18,43.98566,39.79627
North Dakota,now-cast,34.67,44.9,33.02447,45.42189000000001
Illinois,now-cast,55.55,34.57,54.57973000000001,35.24151
Alaska,now-cast,33.0,45.0,31.587090000000003,46.45063
